Formulation_ID,group_key,group_primary_cas,group_primary_name,group_key_src,group_primary_from_same_row,group_primary_ing_idx,group_primary_cas_ing_idx,group_primary_name_ing_idx
MIX523,60207-90-1,60207-90-1,"water repellents and wood preservative be completely dry before glazing, painting, % VOC",cas,False,3.0,3.0,0.0
MIX524,52315-07-8,52315-07-8,Cypermethrin,cas,True,0.0,0.0,0.0
MIX525,5234-68-4,5234-68-4,carboxin,cas,True,0.0,0.0,0.0
MIX526,199119-58-9,199119-58-9,Trifloxysulfuron-sodium,cas,True,1.0,1.0,1.0
MIX527,7732-18-5,7732-18-5,Water,cas,True,2.0,2.0,2.0
MIX528,64742-94-5,64742-94-5,Aromatic hydrocarbon 2 Moderate 2 Flammability,cas,True,2.0,2.0,2.0
MIX529,138261-41-3,138261-41-3,Imidacloprid,cas,True,0.0,0.0,0.0
MIX53,139968-49-3,139968-49-3,Metaflumizone HYDRAZINECARBOXAMIDE,cas,True,0.0,0.0,0.0
MIX530,500008-45-7,500008-45-7,Chlorantraniliprole,cas,True,0.0,0.0,0.0
MIX531,500008-45-7,500008-45-7,Chlorantraniliprole,cas,True,5.0,5.0,5.0
MIX532,35367-38-5,35367-38-5,Diflubenzuron,cas,True,19.0,19.0,19.0
MIX533,107534-96-3,107534-96-3,Other ingredients (incl. petroleum distillates),cas,False,1.0,1.0,0.0
MIX534,67-64-1,67-64-1,Acetone,cas,True,0.0,0.0,0.0
MIX535,134-62-3,134-62-3,OTHER INGREDIENTS,cas,False,1.0,1.0,0.0
MIX536,7704-34-9,7704-34-9,Sulphur,cas,True,0.0,0.0,0.0
MIX537,29450-45-1,29450-45-1,MCPA-2-ethylhexyl,cas,True,1.0,1.0,1.0
MIX538,74742-95-6,74742-95-6,Light aromatic naphtha,cas,True,1.0,1.0,1.0
MIX539,40487-42-1,40487-42-1,Pendimethalin,cas,True,4.0,4.0,4.0
MIX54,175013-18-0,175013-18-0,Pyraclostrobin,cas,True,5.0,5.0,5.0
MIX540,60207-90-1,60207-90-1,Propiconazole,cas,True,1.0,1.0,1.0
MIX541,1071-83-6,1071-83-6,Ingredients determined not to be hazardous,cas,True,2.0,2.0,2.0
MIX542,12069-69-1,12069-69-1,Copper(II) carbonate--copper(II) hydroxide (1:1),cas,True,0.0,0.0,0.0
MIX543,138261-41-3,138261-41-3,Imidacloprid,cas,True,0.0,0.0,0.0
MIX544,108-62-3,108-62-3,Metaldehyde acetaldehyde tetramer,cas,True,2.0,2.0,2.0
