endpoint,Formulation_ID,quote_missing,has_endpoint_word,has_explicit_negative,has_suspicious_marker,has_no_data_marker,quote
eye,MIX910,False,True,True,False,False,Serious eye damage/irritation: Based on available data the classification criteria are not met.
eye,MIX913,False,True,True,False,False,Serious eye damage/eye irritation / Shall not be classified as seriously damaging to the eye or eye irritant.
eye,MIX914,False,True,True,False,False,Serious eye damage/irritation: Based on available data the classification criteria are not met.
eye,MIX919,False,True,True,False,False,Serious eye damage/irritation: Based on available data the classification criteria are not met.
eye,MIX933,False,True,True,False,False,"Serious eye damage/irritation : Not classified (Based on available data, the classification criteria are not met)"
eye,MIX942,False,True,True,False,False,• Serious eye damage/irritation / No irritating effect.
eye,MIX943,False,True,True,False,False,Health hazards Not classified. ... Hazard statement The substance does not meet the criteria for classification. / Serious eye damage/eye irritation Due to partial or complete lack of data the classification is not possible.
eye,MIX944,False,True,False,False,True,Eye damage or irritation Not Applicable.
eye,MIX974,False,True,True,True,False,Health hazards Not classified. ... Hazard statement The substance does not meet the criteria for classification. ... Serious eye damage/eye irritation Direct contact with eyes may cause temporary irritation.
eye,MIX991,False,True,True,False,False,Serious eye damage/irritation: Based on available data the classification criteria are not met.
eye,MIX995,False,True,True,False,False,Serious eye damage/irritation: Based on available data the classification criteria are not met.
skin,Cancer_PID_99,False,True,True,False,False,Skin corrosion/irritation : Not classified
skin,EyeIrritation6pack_PID1024,False,True,True,True,True,2.1 Classification of the substance or mixture / Not a hazardous substance or mixture. / ... Skin corrosion/irritation / No data available
skin,EyeIrritation6pack_PID1032,False,True,True,False,False,"Skin Corrosion/Irritation / Based on available data, the classification criteria are not met."
skin,EyeIrritation6pack_PID1039,False,True,False,False,False,(b) skin corrosion/irritation: not irritant
skin,EyeIrritation6pack_PID1040,False,True,True,False,False,Skin corrosion/irritation / Product: / Result : No skin irritation
skin,EyeIrritation6pack_PID1055,False,True,True,False,False,· on the skin: No irritant effect.
skin,EyeIrritation6pack_PID1060,False,True,True,True,False,Skin / Species: rabbit / Result: non-irritant / Method: OECD Guideline 404 / May cause slight irritation to the skin.
skin,EyeIrritation6pack_PID118,False,True,True,True,False,Assessment of irritating effects: / Causes serious eye irritation. Not irritating to the skin.
skin,EyeIrritation6pack_PID125,False,True,True,True,False,Assessment of irritating effects: / May cause severe damage to the eyes. Not irritating to the skin.
skin,EyeIrritation6pack_PID128,False,True,True,True,False,"Assessment of irritating effects: / Not irritating to eyes and skin. ... Skin corrosion/irritation /  rabbit: non-irritant (Guideline 92/69/EEC, B.4)"
skin,EyeIrritation6pack_PID160,False,True,True,False,False,Skin corrosion/irritation Skin - rabbit Result: No skin irritation
skin,EyeIrritation6pack_PID168,False,True,True,False,False,Skin corrosion/irritation : Not classified pH: 7 - 8
skin,EyeIrritation6pack_PID170,False,True,True,False,False,Skin corrosion/irritation  / Skin - Rabbit  / Result: No skin irritation
skin,EyeIrritation6pack_PID246,False,True,True,False,False,Skin corrosion/irritation  / Skin - Rabbit  / Result: No skin irritation
skin,EyeIrritation6pack_PID247,False,True,True,False,False,Skin corrosion/irritation  / Skin - Rabbit  / Result: No skin irritation
skin,EyeIrritation6pack_PID28,False,True,True,False,False,Skin corrosion/irritation  / Skin - rabbit  / Result: No skin irritation
skin,EyeIrritation6pack_PID288,False,True,True,False,False,Skin corrosion/irritation / Shall not be classified as corrosive/irritant to skin.
skin,EyeIrritation6pack_PID29,False,True,True,False,False,Skin corrosion/irritation  / Skin - rabbit  / Result: No skin irritation
skin,EyeIrritation6pack_PID343,False,True,True,False,False,Skin Irritation (rabbit): Non-irritating
skin,EyeIrritation6pack_PID40,False,True,True,False,False,Skin corrosion/irritation / Shall not be classified as corrosive/irritant to skin.
skin,EyeIrritation6pack_PID422,False,True,True,False,False,Skin corrosion/irritation / Shall not be classified as corrosive/irritant to skin.
skin,EyeIrritation6pack_PID443,False,True,True,False,False,Skin corrosion/irritation / Shall not be classified as corrosive/irritant to skin.
skin,EyeIrritation6pack_PID467,False,True,True,False,False,Skin corrosion/irritation  / Skin - rabbit  / Result: No skin irritation
skin,EyeIrritation6pack_PID475,False,True,False,False,True,Skin corrosion/irritation --- Not Applicable
skin,EyeIrritation6pack_PID477,False,True,True,True,False,Assessment of irritating effects: / Eye contact causes irritation. Not irritating to the skin. /  / Experimental/calculated data: / Skin corrosion/irritation rabbit: non-irritant (OECD Guideline 404)
skin,EyeIrritation6pack_PID489,False,True,True,False,False,Skin corrosion/irritation / Skin - Rabbit / Result: No skin irritation / (OECD Test Guideline 404)
skin,EyeIrritation6pack_PID511,False,True,True,False,False,Skin corrosion/irritation / Shall not be classified as corrosive/irritant to skin.
skin,EyeIrritation6pack_PID514,False,True,True,False,False,Skin corrosion/irritation Shall not be classified as corrosive/irritant to skin.
skin,EyeIrritation6pack_PID516,False,True,True,False,False,Skin corrosion/irritation / Shall not be classified as corrosive/irritant to skin.
skin,EyeIrritation6pack_PID560,False,True,True,False,False,"Skin contact Based on available data, the classification criteria are not met."
skin,EyeIrritation6pack_PID690,False,True,True,False,False,Skin corrosion/irritation / Product: / Species : Rabbit / Result : No skin irritation
