sheet,column,role,dtype,n_notna,fill_pct,in_X,sds_coderived,feature_role,exclude_by_default
formulation,ghs_source,provenance,str,954,56.96,False,False,provenance,False
formulation,is_mixture,feature,bool,1675,100.0,True,False,ambiguous,True
formulation,y_source,label_source,str,1511,90.21,False,False,label_source,False
formulation,y_sources,label_source,str,1511,90.21,False,False,label_source,False
formulation,has_y,feature,bool,1675,100.0,True,False,bookkeeping,True
formulation,trainable,feature,bool,1675,100.0,True,False,bookkeeping,True
formulation,trainable_ntp,feature,bool,1675,100.0,True,False,bookkeeping,True
formulation,trainable_ghs,feature,bool,1675,100.0,True,False,bookkeeping,True
formulation,trainable_epa,feature,bool,1675,100.0,True,False,bookkeeping,True
formulation,trainable_epa_any,feature,bool,1675,100.0,True,False,bookkeeping,True
formulation,evidence_class,feature,str,170,10.15,False,False,chemistry,False
formulation,memo_confidence,feature,str,147,8.78,False,False,chemistry,False
formulation,is_formulation,feature,object,147,8.78,False,False,chemistry,False
formulation,not_formulation_reason,feature,str,86,5.13,False,False,chemistry,False
formulation,review_matched,feature,bool,1675,100.0,True,False,bookkeeping,True
formulation,memo_open_requests,feature,str,23,1.37,False,False,chemistry,False
formulation,memo_duplicate_ref,feature,str,11,0.66,False,False,chemistry,False
formulation,tox_eye_irritation_quote,label_source,str,463,27.64,False,False,label_source,False
formulation,tox_eye_corrosion_quote,label_source,str,327,19.52,False,False,label_source,False
formulation,tox_skin_irritation_quote,label_source,str,504,30.09,False,False,label_source,False
formulation,tox_skin_corrosion_quote,label_source,str,263,15.7,False,False,label_source,False
formulation,tox_skin_sensitization_quote,label_source,str,511,30.51,False,False,label_source,False
formulation,ghs_eye_irritation_by,label_source,str,539,32.18,False,False,label_source,False
formulation,ghs_eye_corrosion_by,label_source,str,296,17.67,False,False,label_source,False
formulation,ghs_skin_irritation_by,label_source,str,440,26.27,False,False,label_source,False
formulation,ghs_skin_corrosion_by,label_source,str,155,9.25,False,False,label_source,False
formulation,ghs_skin_sensitization_by,label_source,str,432,25.79,False,False,label_source,False
formulation,tox_notes,label_source,str,564,33.67,False,False,label_source,False
formulation,form2_code,feature,str,1324,79.04,False,False,chemistry,False
formulation,form2_code_base,feature,str,1324,79.04,False,False,chemistry,False
formulation,form2_cipac_ok,feature,object,1324,79.04,False,False,chemistry,False
formulation,form2_sb,feature,bool,1675,100.0,False,False,chemistry,False
formulation,form2_verdict,provenance,str,1675,100.0,False,False,provenance,False
formulation,form2_not_formulation,feature,str,86,5.13,False,False,chemistry,False
formulation,tox2_signal_word,label_source,str,989,59.04,False,False,label_source,False
formulation,tox2_signal_scheme,label_source,str,989,59.04,False,False,label_source,False
formulation,tox2_h_codes,label_source,str,765,45.67,False,False,label_source,False
formulation,tox2_n_h,label_source,int64,1675,100.0,False,False,label_source,False
formulation,tox2_pre_ghs,label_source,bool,1675,100.0,False,False,label_source,False
formulation,tox2_not_classified,label_source,bool,1675,100.0,False,False,label_source,False
formulation,tox2_eye_ghs,label_source,str,352,21.01,False,False,label_source,False
formulation,tox2_skin_ghs,label_source,str,306,18.27,False,False,label_source,False
formulation,tox2_sens_ghs,label_source,str,335,20.0,False,False,label_source,False
formulation,tox2_sens_resp_ghs,label_source,str,15,0.9,False,False,label_source,False
formulation,tox2_parse_ok,label_source,bool,1675,100.0,False,False,label_source,False
formulation,tox2_acute_oral_cat,label_source,float64,388,23.16,False,False,label_source,False
formulation,tox2_acute_dermal_cat,label_source,float64,102,6.09,False,False,label_source,False
formulation,tox2_acute_inhal_cat,label_source,float64,229,13.67,False,False,label_source,False
formulation,tox2_stot_se_cat,label_source,float64,169,10.09,False,False,label_source,False
formulation,tox2_stot_re_cat,label_source,float64,166,9.91,False,False,label_source,False
formulation,tox2_carc_cat,label_source,float64,125,7.46,False,False,label_source,False
formulation,tox2_muta_cat,label_source,float64,18,1.07,False,False,label_source,False
formulation,tox2_repr_cat,label_source,float64,92,5.49,False,False,label_source,False
formulation,tox2_aspiration_cat,label_source,float64,96,5.73,False,False,label_source,False
formulation,tox2_flammable_cat,label_source,float64,122,7.28,False,False,label_source,False
formulation,tox2_oxidizer_cat,label_source,float64,5,0.3,False,False,label_source,False
formulation,tox2_corrosive_metal_cat,label_source,float64,14,0.84,False,False,label_source,False
formulation,tox2_aquatic_cat,label_source,float64,567,33.85,False,False,label_source,False
formulation,tox2_resp_irrit_cat,label_source,float64,110,6.57,False,False,label_source,False
formulation,tox2_ozone_cat,label_source,object,0,0.0,False,False,label_source,False
formulation,tox2_verdict,label_source,str,1675,100.0,False,False,label_source,False
formulation,tox2_src_url,label_source,str,541,32.3,False,False,label_source,False
formulation,tox2_raw,label_source,str,1076,64.24,False,False,label_source,False
formulation,pc2_n_params,feature,int64,1675,100.0,True,False,bookkeeping,True
formulation,pc2_n_items,feature,int64,1675,100.0,True,False,bookkeeping,True
formulation,pc2_parse_ok,feature,bool,1675,100.0,True,False,bookkeeping,True
formulation,pc2_physical_state,feature,str,886,52.9,False,False,chemistry,False
formulation,pc2_solubility_qual,feature,str,452,26.99,False,False,chemistry,False
