endpoint,label_set,feature_set,roc_auc,roc_auc_sd,pr_auc,pr_auc_sd,f1,f1_sd,balanced_accuracy,balanced_accuracy_sd,mcc,mcc_sd,dummy_mf_f1,dummy_mf_f1_sd,dummy_mf_balanced_accuracy,dummy_mf_balanced_accuracy_sd,dummy_mf_mcc,dummy_mf_mcc_sd,prevalence,prevalence_sd,noinfo_roc_auc,noinfo_roc_auc_sd,noinfo_pr_auc,noinfo_pr_auc_sd,noinfo_f1_all_positive,noinfo_f1_all_positive_sd,noinfo_f1_random_at_p,noinfo_f1_random_at_p_sd,noinfo_balanced_accuracy,noinfo_balanced_accuracy_sd,noinfo_mcc,noinfo_mcc_sd,fold_roc_auc_sd,n,n_pos,n_groups,n_features,seeds,n_dropped_vs_L_all
skin,L_all,S2_chem_plus_ambiguous,0.7556572431517582,0.0037128045337280775,0.6467384187889305,0.006936593987785904,0.5723823220712977,0.010466885510551676,0.6800417633047076,0.006704585185086318,0.3802660069862479,0.012646793955930281,0.0,0.0,0.5,0.0,0.0,0.0,0.35033050047214354,0.0,0.5,0.0,0.35033050047214354,0.0,0.5188811188811189,0.0,0.35033050047214354,0.0,0.5,0.0,0.0,0.0,0.031580665569350796,1059,371,477,430,"[0, 1, 2, 3, 4]",0
skin,L_all,S3_all_minus_excluded,0.755560866294741,0.005043358574587347,0.6443873585033677,0.0084546416016094,0.5702876438065839,0.00864471989122451,0.6770051087569736,0.005470891628208502,0.36975100804087135,0.010086566919991323,0.0,0.0,0.5,0.0,0.0,0.0,0.35033050047214354,0.0,0.5,0.0,0.35033050047214354,0.0,0.5188811188811189,0.0,0.35033050047214354,0.0,0.5,0.0,0.0,0.0,0.03146265381813849,1059,371,477,221,"[0, 1, 2, 3, 4]",0
skin,L_drop_T1T2,S1_chemistry,0.7559067369728022,0.004511103566882964,0.6441298672994726,0.005846766445253387,0.573269621703238,0.012130288867720398,0.6793993068925684,0.00860919354290705,0.3762014491440535,0.01828380477417161,0.0,0.0,0.5,0.0,0.0,0.0,0.3509933774834437,0.0,0.5,0.0,0.3509933774834437,0.0,0.5196078431372549,0.0,0.3509933774834437,0.0,0.5,0.0,0.0,0.0,0.028818481798965637,1057,371,477,221,"[0, 1, 2, 3, 4]",2
skin,L_drop_T1T2,S2_chem_plus_ambiguous,0.7571232112405994,0.005603613756662695,0.6489096430393801,0.00486719698937594,0.5710324539073325,0.007751999494708876,0.6788547224819848,0.005885290545843506,0.3779064705676138,0.013710340480058963,0.0,0.0,0.5,0.0,0.0,0.0,0.3509933774834437,0.0,0.5,0.0,0.3509933774834437,0.0,0.5196078431372549,0.0,0.3509933774834437,0.0,0.5,0.0,0.0,0.0,0.028438527018775434,1057,371,477,430,"[0, 1, 2, 3, 4]",2
skin,L_drop_T1T2,S3_all_minus_excluded,0.7559067369728022,0.004511103566882964,0.6441298672994726,0.005846766445253387,0.573269621703238,0.012130288867720398,0.6793993068925684,0.00860919354290705,0.3762014491440535,0.01828380477417161,0.0,0.0,0.5,0.0,0.0,0.0,0.3509933774834437,0.0,0.5,0.0,0.3509933774834437,0.0,0.5196078431372549,0.0,0.3509933774834437,0.0,0.5,0.0,0.0,0.0,0.028818481798965637,1057,371,477,221,"[0, 1, 2, 3, 4]",2
skin,L_drop_flip,S1_chemistry,0.7658229757571186,0.0081057803809366,0.6677732921953136,0.007821207269149866,0.5876922111069229,0.00393295083908133,0.6890571595298303,0.0031320112741281634,0.3971641902522496,0.007743308144789699,0.0,0.0,0.5,0.0,0.0,0.0,0.35333333333333333,0.0,0.5,0.0,0.35333333333333333,0.0,0.5221674876847291,0.0,0.35333333333333333,0.0,0.5,0.0,0.0,0.0,0.03316263727734337,1050,371,473,221,"[0, 1, 2, 3, 4]",9
skin,L_drop_flip,S2_chem_plus_ambiguous,0.7628917585318508,0.007426545882609659,0.6672082549411807,0.007594168992173812,0.5912578309807092,0.007514880830445569,0.6923972545641481,0.005450012858989683,0.4068823277957862,0.012428558840543362,0.0,0.0,0.5,0.0,0.0,0.0,0.35333333333333333,0.0,0.5,0.0,0.35333333333333333,0.0,0.5221674876847291,0.0,0.35333333333333333,0.0,0.5,0.0,0.0,0.0,0.03262401353951476,1050,371,473,430,"[0, 1, 2, 3, 4]",9
skin,L_drop_flip,S3_all_minus_excluded,0.7658229757571186,0.0081057803809366,0.6677732921953136,0.007821207269149866,0.5876922111069229,0.00393295083908133,0.6890571595298303,0.0031320112741281634,0.3971641902522496,0.007743308144789699,0.0,0.0,0.5,0.0,0.0,0.0,0.35333333333333333,0.0,0.5,0.0,0.35333333333333333,0.0,0.5221674876847291,0.0,0.35333333333333333,0.0,0.5,0.0,0.0,0.0,0.03316263727734337,1050,371,473,221,"[0, 1, 2, 3, 4]",9
sens,L_all,S1_chemistry,0.6969177733380342,0.013489799651376333,0.7261223130320753,0.012744736744889244,0.6700241421902788,0.012709998279669146,0.6491181885846359,0.016325159233665773,0.2982129454079241,0.03233687910886213,0.6946216955332726,0.0,0.5,0.0,0.0,0.0,0.5321229050279329,0.0,0.5,0.0,0.5321229050279329,0.0,0.6946216955332726,0.0,0.5321229050279329,0.0,0.5,0.0,0.0,0.0,0.03687278545077152,716,381,364,221,"[0, 1, 2, 3, 4]",0
sens,L_all,S2_chem_plus_ambiguous,0.704868570533161,0.011052613210259564,0.7303641295624773,0.012755992733994326,0.6769386289030506,0.018482481622480864,0.6573424217495201,0.013495478562932928,0.314860199075951,0.027065687280046775,0.6946216955332726,0.0,0.5,0.0,0.0,0.0,0.5321229050279329,0.0,0.5,0.0,0.5321229050279329,0.0,0.6946216955332726,0.0,0.5321229050279329,0.0,0.5,0.0,0.0,0.0,0.039353719533131076,716,381,364,430,"[0, 1, 2, 3, 4]",0
sens,L_all,S3_all_minus_excluded,0.6969177733380342,0.013489799651376333,0.7261223130320753,0.012744736744889226,0.6700241421902788,0.012709998279669146,0.6491181885846359,0.016325159233665773,0.2982129454079241,0.03233687910886213,0.6946216955332726,0.0,0.5,0.0,0.0,0.0,0.5321229050279329,0.0,0.5,0.0,0.5321229050279329,0.0,0.6946216955332726,0.0,0.5321229050279329,0.0,0.5,0.0,0.0,0.0,0.036872785450771516,716,381,364,221,"[0, 1, 2, 3, 4]",0
sens,L_drop_T1T2,S1_chemistry,0.7031398249131902,0.010028687624844107,0.7336478238159406,0.007133621727674102,0.6916881265052177,0.014785393133320559,0.6574884661156486,0.018232941763459506,0.31607187889441485,0.03602616527975648,0.7029520295202952,0.0,0.5,0.0,0.0,0.0,0.5419630156472262,0.0,0.5,0.0,0.5419630156472262,0.0,0.7029520295202952,0.0,0.5419630156472262,0.0,0.5,0.0,0.0,0.0,0.045098096470979544,703,381,360,221,"[0, 1, 2, 3, 4]",13
sens,L_drop_T1T2,S2_chem_plus_ambiguous,0.7045760584274792,0.008598182323723474,0.735282555227416,0.004353970298811066,0.6801743515343249,0.021336700866890518,0.6416059405617777,0.01944131789557122,0.28488058997012466,0.04007811786632237,0.7029520295202952,0.0,0.5,0.0,0.0,0.0,0.5419630156472262,0.0,0.5,0.0,0.5419630156472262,0.0,0.7029520295202952,0.0,0.5419630156472262,0.0,0.5,0.0,0.0,0.0,0.04325770999958646,703,381,360,430,"[0, 1, 2, 3, 4]",13
sens,L_drop_T1T2,S3_all_minus_excluded,0.7031398249131902,0.010028687624844107,0.7336478238159406,0.007133621727674102,0.6916881265052177,0.014785393133320559,0.6574884661156486,0.018232941763459506,0.31607187889441485,0.03602616527975648,0.7029520295202952,0.0,0.5,0.0,0.0,0.0,0.5419630156472262,0.0,0.5,0.0,0.5419630156472262,0.0,0.7029520295202952,0.0,0.5419630156472262,0.0,0.5,0.0,0.0,0.0,0.045098096470979544,703,381,360,221,"[0, 1, 2, 3, 4]",13
sens,L_drop_flip,S1_chemistry,0.7157637629681147,0.0024773922748355034,0.7478698475016343,0.00482992807977658,0.6999218459006402,0.006496673697939353,0.661424774584565,0.007157706888259467,0.32458967149677764,0.013586272505920018,0.706209453197405,0.0,0.5,0.0,0.0,0.0,0.5458452722063037,0.0,0.5,0.0,0.5458452722063037,0.0,0.706209453197405,0.0,0.5458452722063037,0.0,0.5,0.0,0.0,0.0,0.05839683874850996,698,381,356,221,"[0, 1, 2, 3, 4]",18
sens,L_drop_flip,S2_chem_plus_ambiguous,0.7242537900428061,0.007416085688423058,0.7526185409823785,0.0065792796777028985,0.7137482724817429,0.01597453160456437,0.6747650628844896,0.016321419553467692,0.35186605779598784,0.03317766951699513,0.706209453197405,0.0,0.5,0.0,0.0,0.0,0.5458452722063037,0.0,0.5,0.0,0.5458452722063037,0.0,0.706209453197405,0.0,0.5458452722063037,0.0,0.5,0.0,0.0,0.0,0.05180324284875703,698,381,356,430,"[0, 1, 2, 3, 4]",18
sens,L_drop_flip,S3_all_minus_excluded,0.7157637629681147,0.0024773922748355034,0.7478702615327786,0.00483025819542853,0.6999218459006402,0.006496673697939353,0.661424774584565,0.007157706888259467,0.32458967149677764,0.013586272505920018,0.706209453197405,0.0,0.5,0.0,0.0,0.0,0.5458452722063037,0.0,0.5,0.0,0.5458452722063037,0.0,0.706209453197405,0.0,0.5458452722063037,0.0,0.5,0.0,0.0,0.0,0.05839683874850997,698,381,356,221,"[0, 1, 2, 3, 4]",18
