Formulation_ID,ingredient_name,cas,smiles,smiles_valid,smiles_canonical,structure_completeness,missing_reason
MIX177,Di(-ethylhexyl)phthalate (DEHP,117-81-7,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,True,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,complete,present
MIX177,Bifenthrin,82657-04-3,CC1=C(C=CC=C1COC(=O)[C@@H]1[C@H](C=C(/Cl)C(F)(F)F)C1(C)C)C1=CC=CC=C1,True,Cc1c(COC(=O)[C@@H]2[C@H](C=C(Cl)C(F)(F)F)C2(C)C)cccc1-c1ccccc1,complete,present
MIX178,"4,5-Dichloro-2-N-octyl-4-isothiazolin-3-one <0.075",64359-81-5,CCCCCCCCn1sc(Cl)c(Cl)c1=O,True,CCCCCCCCn1sc(Cl)c(Cl)c1=O,complete,present
MIX178,Imidacloprid,138261-41-3,[O-][N+](=O)N=C1/NCCN1CC1=CN=C(Cl)C=C1,True,O=[N+]([O-])N=C1NCCN1Cc1ccc(Cl)nc1,complete,present
MIX179,Deltamethrin,52918-63-5,CC1(C)[C@H](C(=O)O[C@H](C#N)c2cccc(Oc3ccccc3)c2)[C@@H]1C=C(Br)Br,True,CC1(C)[C@H](C(=O)O[C@H](C#N)c2cccc(Oc3ccccc3)c2)[C@@H]1C=C(Br)Br,complete,present
MIX18,Benzyl Alcohol,,OCc1ccccc1,True,OCc1ccccc1,complete,present
MIX18,Imidacloprid,,O=[N+]([O-])/N=C1\NCCN1Cc1ccc(Cl)nc1,True,O=[N+]([O-])/N=C1\NCCN1Cc1ccc(Cl)nc1,complete,present
MIX18,Pyriproxyfen,95737-68-1,CC(COC1=CC=C(OC2=CC=CC=C2)C=C1)OC1=NC=CC=C1,True,CC(COc1ccc(Oc2ccccc2)cc1)Oc1ccccn1,complete,present
MIX180,Rimsulfuron,,CCS(=O)(=O)c1cccnc1S(=O)(=O)NC(=O)Nc1nc(OC)cc(OC)n1,True,CCS(=O)(=O)c1cccnc1S(=O)(=O)NC(=O)Nc1nc(OC)cc(OC)n1,complete,present
MIX180,Monobasic potassium phosphate,,O=P([O-])(O)O.[K+],True,O=P([O-])(O)O.[K+],complete,present
MIX181,Potassium salt of glyphosate,70901-12-1,O=C(O)CNCP(=O)([O-])O.[K+],True,O=C(O)CNCP(=O)([O-])O.[K+],complete,present
MIX181,Aminocyclopyrachlor-methyl,858954-83-3,COC(=O)C1=C(Cl)C(N)=NC(=N1)C1CC1,True,COC(=O)c1nc(C2CC2)nc(N)c1Cl,complete,present
MIX182,"Synonyms : DPX,dpx mountant",14208-10-7,[Br-].[Br-].c1cc[n+](Cc2ccc(C[n+]3ccccc3)cc2)cc1,True,[Br-].[Br-].c1cc[n+](Cc2ccc(C[n+]3ccccc3)cc2)cc1,complete,present
