Formulation_ID,endpoint,reason
MIX339,sens,sds_grade_status=negative but y is NaN
MIX351,sens,sds_grade_status=negative but y is NaN
MIX383,sens,sds_grade_status=negative but y is NaN
MIX402,sens,sds_grade_status=negative but y is NaN
MIX42,sens,sds_grade_status=negative but y is NaN
MIX436,sens,sds_grade_status=negative but y is NaN
MIX439,sens,sds_grade_status=negative but y is NaN
MIX440,sens,sds_grade_status=negative but y is NaN
MIX459,sens,sds_grade_status=negative but y is NaN
MIX464,sens,sds_grade_status=negative but y is NaN
MIX482,sens,sds_grade_status=negative but y is NaN
MIX491,sens,sds_grade_status=negative but y is NaN
MIX495,sens,sds_grade_status=negative but y is NaN
MIX527,sens,sds_grade_status=negative but y is NaN
MIX53,sens,sds_grade_status=negative but y is NaN
MIX547,sens,sds_grade_status=negative but y is NaN
MIX555,sens,sds_grade_status=negative but y is NaN
MIX571,sens,sds_grade_status=negative but y is NaN
MIX586,sens,sds_grade_status=negative but y is NaN
MIX592,sens,sds_grade_status=negative but y is NaN
MIX594,sens,sds_grade_status=negative but y is NaN
MIX603,sens,sds_grade_status=negative but y is NaN
MIX607,sens,sds_grade_status=negative but y is NaN
MIX608,sens,sds_grade_status=negative but y is NaN
MIX612,sens,sds_grade_status=negative but y is NaN
MIX617,sens,sds_grade_status=negative but y is NaN
MIX618,sens,sds_grade_status=negative but y is NaN
MIX621,sens,sds_grade_status=negative but y is NaN
MIX628,sens,sds_grade_status=negative but y is NaN
MIX632,sens,sds_grade_status=negative but y is NaN
MIX641,sens,sds_grade_status=negative but y is NaN
MIX645,sens,sds_grade_status=negative but y is NaN
MIX648,sens,sds_grade_status=negative but y is NaN
MIX649,sens,sds_grade_status=negative but y is NaN
MIX653,sens,sds_grade_status=negative but y is NaN
MIX655,sens,sds_grade_status=negative but y is NaN
MIX658,sens,sds_grade_status=negative but y is NaN
MIX659,sens,sds_grade_status=negative but y is NaN
MIX67,sens,sds_grade_status=negative but y is NaN
MIX672,sens,sds_grade_status=negative but y is NaN
MIX678,sens,sds_grade_status=negative but y is NaN
MIX686,sens,sds_grade_status=negative but y is NaN
MIX688,sens,sds_grade_status=negative but y is NaN
MIX693,sens,sds_grade_status=negative but y is NaN
MIX696,sens,sds_grade_status=negative but y is NaN
MIX699,sens,sds_grade_status=negative but y is NaN
MIX704,sens,sds_grade_status=negative but y is NaN
MIX706,sens,sds_grade_status=negative but y is NaN
MIX708,sens,sds_grade_status=negative but y is NaN
MIX709,sens,sds_grade_status=negative but y is NaN
MIX710,sens,sds_grade_status=negative but y is NaN
MIX712,sens,sds_grade_status=negative but y is NaN
MIX716,sens,sds_grade_status=negative but y is NaN
MIX752,sens,sds_grade_status=negative but y is NaN
MIX758,sens,sds_grade_status=negative but y is NaN
MIX765,sens,sds_grade_status=negative but y is NaN
MIX779,sens,sds_grade_status=negative but y is NaN
MIX783,sens,sds_grade_status=negative but y is NaN
MIX785,sens,sds_grade_status=negative but y is NaN
MIX790,sens,sds_grade_status=negative but y is NaN
MIX794,sens,sds_grade_status=negative but y is NaN
MIX799,sens,sds_grade_status=negative but y is NaN
MIX802,sens,sds_grade_status=negative but y is NaN
MIX803,sens,sds_grade_status=negative but y is NaN
MIX805,sens,sds_grade_status=negative but y is NaN
MIX806,sens,sds_grade_status=negative but y is NaN
MIX809,sens,sds_grade_status=negative but y is NaN
MIX810,sens,sds_grade_status=negative but y is NaN
MIX811,sens,sds_grade_status=negative but y is NaN
MIX823,sens,sds_grade_status=negative but y is NaN
MIX846,sens,sds_grade_status=negative but y is NaN
MIX849,sens,sds_grade_status=negative but y is NaN
MIX850,sens,sds_grade_status=negative but y is NaN
MIX891,sens,sds_grade_status=negative but y is NaN
MIX892,sens,sds_grade_status=negative but y is NaN
MIX905,sens,sds_grade_status=negative but y is NaN
MIX934,sens,sds_grade_status=negative but y is NaN
MIX95,sens,sds_grade_status=negative but y is NaN
