Formulation_ID,Formulation_Name,Audit_Status,recommendation,priority,current_n_cas,current_n_smiles,current_n_ing,Formulation_Ingredients_CAS,Formulation_Ingredients_SMILES,Formulation_Ingredients_PubChem_CID,Audit_Issues
EyeIrritation6pack_PID579,Lancer Gold Insecticide,MATCH,NO_ACTION,9,2,2,6,64742-94-5 | 82657-04-3 | 872-50-4,CC1=C(C=CC=C1C2=CC=CC=C2)COC(=O)[C@@H]3[C@@H](C3(C)C)/C=C(/C(F)(F)F)\Cl | CN1CCCC1=O,6442842 | 13387,
EyeIrritation6pack_PID578,Lambda Cyhalothrin 2,MATCH,NO_ACTION,9,4,3,4,64742-94-5 | 91465-08-6 | 91-20-3 | 95-63-6,CC1([C@@H]([C@@H]1C(=O)O[C@@H](C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)/C=C(/C(F)(F)F)\Cl)C | C1=CC=C2C=CC=CC2=C1 | CC1=CC(=C(C=C1)C)C,6440557 | 931 | 7247,
EyeIrritation6pack_PID574,Klean-Pik 500 SC,EVIDENCE_WEAK,NO_ACTION,9,1,2,3,,,,SECTION_3_NOT_FOUND
EyeIrritation6pack_PID573,Kixor Herbicide,MATCH,NO_ACTION,9,1,1,2,372137-35-4,CC(C)N(C)S(=O)(=O)NC(=O)C1=CC(=C(C=C1Cl)F)N2C(=O)C=C(N(C2=O)C)C(F)(F)F,11571392,
EyeIrritation6pack_PID572,Kitchen Klenzer,MATCH,NO_ACTION,9,1,1,3,68424-85-1,,,
EyeIrritation6pack_PID571,Kilter Insecticide,MATCH,NO_ACTION,9,3,3,3,138261-41-3 | 91465-08-6 | 57-55-6,C1CN(/C(=N/[N+](=O)[O-])/N1)CC2=CN=C(C=C2)Cl | CC1([C@@H]([C@@H]1C(=O)O[C@@H](C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)/C=C(/C(F)(F)F)\Cl)C | CC(CO)O,86287518 | 6440557 | 1030,
EyeIrritation6pack_PID570,Kendo 22.8 CS,EVIDENCE_WEAK,NO_ACTION,9,1,1,1,,,,SECTION_3_NOT_FOUND
EyeIrritation6pack_PID57,Affirm,MISMATCH,NO_ACTION,9,5,5,5,7722-84-1 | 64-19-7 | 7664-93-9 | 7697-37-2 | 79-21-0,OO | CC(=O)O | OS(=O)(=O)O | [N+](=O)(O)[O-] | CC(=O)OO,784 | 176 | 1118 | 944 | 6585,SOURCE_DOWNLOAD_FAILED: 429 Client Error: Too Many Requests for url: https://quiplabs.com/wp-content/uploads/SDS_Affirm.pdf | SUPPLEMENTAL_ATTENTION_REQUIRED: SOURCE_SCOPE_NOT_EXACT | WORKBOOK_CAS_NOT_FOUND_IN_SOURCE | WORKBOOK_INGREDIENT_NOT_FOUND_IN_SOURCE | SUPPLEMENTAL_ATTENTION_REQUIRED: NO_HIGHLIGHTED_SOURCE | SOURCE_SCOPE_NOT_EXACT | WORKBOOK_CAS_NOT_FOUND_IN_SOURCE | WORKBOOK_INGREDIENT_NOT_FOUND_IN_SOURCE | SUPPLEMENTAL_ATTENTION_REQUIRED: SOURCE_SCOPE_NOT_EXACT | OCCURRENCE_MISMATCH | OCCURRENCE_UNRESOLVED | MANUAL_REVIEW_REQUIRED | SUPPLEMENTAL_ATTENTION_REQUIRED: SOURCE_SCOPE_NOT_EXACT | OCCURRENCE_MISMATCH | MANUAL_REVIEW_REQUIRED
EyeIrritation6pack_PID568,Kaput Field Rodent Bait B,MATCH,NO_ACTION,9,2,2,4,138261-41-3,C1CN(/C(=N/[N+](=O)[O-])/N1)CC2=CN=C(C=C2)Cl,86287518,
EyeIrritation6pack_PID567,Justice Insecticide,EVIDENCE_WEAK,NO_ACTION,9,2,2,4,189278-12-4 | 211-00-1 | 1335202-81-7 | 26264-06-2 | 104-76-7,CCCN1C(=O)C2=C(C=CC(=C2)I)N=C1OCCC | CCCCCCCCCCCC.CCCCCCCCCCCC.C1=CC=C(C=C1)S(=O)(=O)[O-].C1=CC=C(C=C1)S(=O)(=O)[O-].[Ca+2] | CCCCC(CC)CO,11057771 | 156614057 | 7720,INVALID_WORKBOOK_CAS
