우선순위,endpoint,Formulation_ID,product_name,현재라벨,현재이진,마스크적용,원문URL,URL출처컬럼,로컬보유,doc_source,doc_rel,판정결과(양성/음성/판별불가),H코드,원문근거문장,확인자,확인일
2,sens,MIX846,Fenhexamid(50%),NC,0,아니오,https://www.chemblink.com/MSDSFiles/126833-17-8Sigma-Aldrich.pdf,tox2_src_url,아니오,local,ingredient_source_audit/highlighted/e4d47b99d2587d3c_highlighted.pdf,,,,,
2,sens,MIX849,MON 37500,NC,0,아니오,https://www.chemblink.com/MSDSFiles/141776-32-1Sigma-Aldrich.pdf,tox2_src_url,아니오,local,ingredient_source_audit/highlighted/eeb8accbf601b9fa_highlighted.pdf,,,,,
2,sens,MIX850,Tebuconazole (HWG-1608; Folicur) (15%),NC,0,아니오,,,아니오,local,ingredient_source_audit/highlighted/9baa1fe68ec7766c_highlighted.pdf,,,,,
2,sens,MIX853,Tebuconazole (HWG-1608; Folicur) (93.4%),NC,0,아니오,,,아니오,local,ingredient_source_audit/highlighted/79a90a19c994074c_highlighted.pdf,,,,,
2,sens,MIX854,Tebuconazole (HWG-1608; Folicur) (96.2%),NC,0,아니오,,,아니오,local,ingredient_source_audit/highlighted/79a90a19c994074c_highlighted.pdf,,,,,
2,sens,MIX858,Methyl and propyl parabens,NC,0,아니오,,,아니오,local,ingredient_source_audit/highlighted/515f1629670947cd_highlighted.pdf,,,,,
2,sens,MIX888,Fenugreek absolute,NC,0,아니오,https://hermitageoils.com/wp-content/uploads/2015/09/FENUGREEK-ABSOLUTE-EN-2021_12_03.pdf,p1_source_url,아니오,local,ingredient_source_audit/highlighted/9f8366c3265648db_highlighted.pdf,,,,,
2,sens,MIX891,Orris absolute,NC,0,아니오,,,아니오,local,ingredient_source_audit/highlighted/6daff2b51e2f1989_highlighted.pdf,,,,,
2,sens,MIX892,Honeysuckle absolute,NC,0,아니오,https://www.thegoodscentscompany.com/data/ab1044821.html,tox2_src_url,아니오,local,ingredient_source_audit/highlighted/95f736d132e9df18_highlighted.pdf,,,,,
2,sens,MIX900,Civet absolute,NC,0,아니오,,,아니오,local,ingredient_source_audit/highlighted/d99382fdb0d1f001_highlighted.pdf,,,,,
2,sens,MIX905,Chamomile oil German,NC,0,아니오,,,아니오,local,ingredient_source_audit/highlighted/e344d1d07c7660a1_highlighted.pdf,,,,,
2,sens,MIX922,Chenopodium oil,NC,0,아니오,http://www.thegoodscentscompany.com/data/es1015261.html,tox2_src_url,아니오,local,ingredient_source_audit/highlighted/edaeb25cc33b95b7_highlighted.pdf,,,,,
2,sens,MIX934,Beeswax absolute,NC,0,아니오,https://perfumersupplyhouse.com/wp-content/uploads/2019/06/00230120-BEESWAX_SDS_Robertet.pdf,tox2_src_url,아니오,local,ingredient_source_audit/highlighted/319c6f15df9ce2c7_highlighted.pdf,,,,,
2,sens,MIX938,Foin absolute,NC,0,아니오,http://www.demonchyaromatics.com/media/621947/800980%20FOIN%20ABSOLUTE%20MSDS.pdf,tox2_src_url,아니오,local,ingredient_source_audit/highlighted/9ab31b9b102d6f04_highlighted.pdf,,,,,
2,sens,MIX943,Almond oil sweet,NC,0,아니오,https://ultrainternational.com/wp-content/uploads/2023/08/SDS-ALMOND-SWEET-OIL.pdf,p1_source_url,아니오,local,ingredient_source_audit/highlighted/0730f58622e9b09a_highlighted.pdf,,,,,
2,sens,MIX944,Perilla oil,NC,0,아니오,https://s3-eu-west-1.amazonaws.com/oand3.co.uk/wp-content/uploads/2018/02/msds-perilla-seed-oil-cold-pressed-organic.pdf,tox_source_url,아니오,local,ingredient_source_audit/highlighted/bdd7e84d59b9db85_highlighted.pdf,,,,,
2,sens,MIX95,Chemsico Aerosol LEG,NC,0,아니오,,,아니오,local,ingredient_source_audit/highlighted/23e625b941a830e2_highlighted.pdf,,,,,
2,sens,MIX963,Cypress oil,NC,0,아니오,,,아니오,local,ingredient_source_audit/highlighted/793735a82343f816_highlighted.pdf,,,,,
2,sens,MIX974,Olibanum gum,NC,0,아니오,https://www.vigon.com/docs/SDS/504309sds.pdf,p1_source_url,아니오,local,ingredient_source_audit/highlighted/4f606acb2be389a7_highlighted.pdf,,,,,
2,skin,Cancer_PID_99,Aspirin; Phenacetin; Caffeine,NC,0,아니오,https://www.elementalmicroanalysis.com/documents/product/sds/PHENACETIN_20240312_EN.pdf,tox_source_url,아니오,url,,,,,,
2,skin,EyeIrritation6pack_PID1024,V-10116 3.7 FS,NC,0,아니오,https://www.chemblink.com/MSDSFiles/56-81-5Sigma-Aldrich.pdf | https://www.chemblink.com/MSDSFiles/125116-23-6Sigma-Aldrich.pdf,tox_source_url,아니오,local,ingredient_source_audit/ordered_option_runs/highlighted_sources/G041_56-81-5_ChemBlink_Sigma_highlighted.pdf,,,,,
2,skin,EyeIrritation6pack_PID1032,VCP-01,NC,0,아니오,https://www3.epa.gov/pesticides/chem_search/ppls/089118-00001-20130603.pdf,tox2_src_url,아니오,local,ingredient_source_audit/highlighted/4ae6d9fcb3da7345_highlighted.pdf,,,,,
2,skin,EyeIrritation6pack_PID1039,Vitacon RTU FL Fungicide,NC,0,아니오,,,아니오,local,ingredient_source_audit/highlighted/fd2ea4ca4e1f1268_highlighted.pdf,,,,,
2,skin,EyeIrritation6pack_PID1040,Voliam Flexi Insecticide,NC,0,아니오,,,아니오,local,ingredient_source_audit/highlighted/ddcc0c90471bab7e_highlighted.pdf,,,,,
2,skin,EyeIrritation6pack_PID1055,XDE-PRDX,NC,0,아니오,https://cdn.caymanchem.com/cdn/msds/15605m.pdf,tox_source_url,아니오,local,ingredient_source_audit/ordered_option_runs/highlighted_sources/G040_alternate_sds_pdf_76b1f244a1d1e120_highlighted.pdf,,,,,
2,skin,EyeIrritation6pack_PID1060,Zampro Fungicide,NC,0,아니오,,,아니오,local,ingredient_source_audit/highlighted/ad11c7ed48807994_highlighted.pdf,,,,,
2,skin,EyeIrritation6pack_PID118,BAS 500 F Manufacturing Use Product,NC,0,아니오,,,아니오,local,ingredient_source_audit/highlighted/5758adb4093a53cb_highlighted.pdf,,,,,
2,skin,EyeIrritation6pack_PID125,BAS 700 01 Fungicide,NC,0,아니오,,,아니오,local,ingredient_source_audit/highlighted/9b558968bd22955b_highlighted.pdf,,,,,
2,skin,EyeIrritation6pack_PID128,BASF MCPP-P,NC,0,아니오,,,아니오,local,ingredient_source_audit/highlighted/296587bc60e570e8_highlighted.pdf,,,,,
2,skin,EyeIrritation6pack_PID160,Bispyribac-sodium,NC,0,아니오,https://www.chemblink.com/MSDSFiles/125401-92-5Sigma-Aldrich.pdf,tox_source_url,아니오,local,ingredient_source_audit/ordered_option_runs/highlighted_sources/G046_125401-92-5_ChemBlink_Sigma_highlighted.pdf,,,,,
2,skin,EyeIrritation6pack_PID168,Bonide Spinosad Dust,NC,0,아니오,https://www.bfgsupply.com/Files/BND2586_MSDS.pdf,tox2_src_url,아니오,local,ingredient_source_audit/highlighted/17da382f7c9090ef_highlighted.pdf,,,,,
2,skin,EyeIrritation6pack_PID170,Boscalid,NC,0,아니오,https://www.chemblink.com/MSDSFiles/188425-85-6Sigma-Aldrich.pdf,tox_source_url,아니오,local,ingredient_source_audit/ordered_option_runs/highlighted_sources/G045_188425-85-6_ChemBlink_Sigma_highlighted.pdf,,,,,
2,skin,EyeIrritation6pack_PID246,Clothiandin 600 FS,NC,0,아니오,https://www.chemblink.com/MSDSFiles/210880-92-5Sigma-Aldrich.pdf,tox_source_url,아니오,local,ingredient_source_audit/ordered_option_runs/highlighted_sources/G029_210880-92-5_ChemBlink_Sigma_highlighted.pdf,,,,,
2,skin,EyeIrritation6pack_PID247,Clothianidin,NC,0,아니오,https://www.chemblink.com/MSDSFiles/210880-92-5Sigma-Aldrich.pdf,tox_source_url,아니오,local,ingredient_source_audit/ordered_option_runs/highlighted_sources/G029_210880-92-5_ChemBlink_Sigma_highlighted.pdf,,,,,
2,skin,EyeIrritation6pack_PID28,Abamectin B1a,NC,0,아니오,https://www.chemblink.com/MSDSFiles/71751-41-2Sigma-Aldrich.pdf | https://www.chemblink.com/MSDSFiles/98-86-2Sigma-Aldrich.pdf | https://www.chemblink.com/MSDSFiles/67-56-1Sigma-Aldrich.pdf,tox_source_url,아니오,local,ingredient_source_audit/ordered_option_runs/highlighted_sources/G028_71751-41-2_ChemBlink_Sigma_highlighted.pdf,,,,,
2,skin,EyeIrritation6pack_PID288,Cypermethrin(95%),NC,0,아니오,,,아니오,local,ingredient_source_audit/highlighted/9e9937cbb45ac976_highlighted.pdf,,,,,
2,skin,EyeIrritation6pack_PID29,Abamectin B1b,NC,0,아니오,https://www.chemblink.com/MSDSFiles/71751-41-2Sigma-Aldrich.pdf | https://www.chemblink.com/MSDSFiles/98-86-2Sigma-Aldrich.pdf | https://www.chemblink.com/MSDSFiles/67-56-1Sigma-Aldrich.pdf,tox_source_url,아니오,local,ingredient_source_audit/ordered_option_runs/highlighted_sources/G028_71751-41-2_ChemBlink_Sigma_highlighted.pdf,,,,,
2,skin,EyeIrritation6pack_PID343,Drexel Suffa-8,NC,0,아니오,,,아니오,local,ingredient_source_audit/highlighted/4c1a05e8d886f459_highlighted.pdf,,,,,
2,skin,EyeIrritation6pack_PID40,Acephate,NC,0,아니오,,,아니오,local,ingredient_source_audit/highlighted/e24b8e39082df840_highlighted.pdf,,,,,
2,skin,EyeIrritation6pack_PID422,Fenhexamid(95.4%),NC,0,아니오,,,아니오,local,ingredient_source_audit/highlighted/ec3e2fe2efdfd841_highlighted.pdf,,,,,
