endpoint,binarization,label_regime,n,n_pos,n_neg,n_groups,prevalence,dummy_f1_formula_2p_over_1plusp,feature_set,n_features,low_confidence,seeds,roc_auc,roc_auc_sd,pr_auc,pr_auc_sd,f1,f1_sd,balanced_accuracy,balanced_accuracy_sd,mcc,mcc_sd,dummy_mf_f1,dummy_mf_f1_sd,dummy_mf_balanced_accuracy,dummy_mf_balanced_accuracy_sd,dummy_mf_mcc,dummy_mf_mcc_sd,prevalence_sd,fold_roc_auc_sd
eye,strict,regulatory_minus_sdsv1,255,116,139,202,0.4549019607843137,0.6253369272237197,S1_chemistry,221,False,"0,1,2,3,4",0.7123294467873976,0.011619019432148443,0.6284845185199619,0.01380742596135638,0.634175390453356,0.004877193776143042,0.6622736293723641,0.0037473623781663027,0.3241313734352175,0.007371102080453907,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.048495829944003394
eye,strict,regulatory_minus_sdsv1,255,116,139,202,0.4549019607843137,0.6253369272237197,S1_minus_CT26,195,False,"0,1,2,3,4",0.7080377077648227,0.008180543874071737,0.6209541660798702,0.012801581392110352,0.6399811976985749,0.015882461522852616,0.6648536343339122,0.010657168601252,0.3289680002218528,0.02075123559441907,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.04851329121999507
eye,strict_drop,all,826,386,440,415,0.4673123486682808,0.636963696369637,S1_chemistry,221,False,"0,1,2,3,4",0.7081841733396137,0.005665863382494271,0.6740711739234626,0.014992238666599997,0.6494855103297928,0.008815025519221765,0.6644606688648139,0.009427773986373714,0.3283187013825815,0.01885749942997294,0.0,0.0,0.5,0.0,0.0,0.0,6.206335383118183e-17,0.04394299951247586
eye,strict_drop,all,826,386,440,415,0.4673123486682808,0.636963696369637,S1_minus_CT26,195,False,"0,1,2,3,4",0.7074670277908619,0.008663809814475128,0.6745913352255076,0.010928134541005604,0.6396653488311238,0.009302609538984534,0.6569795101271785,0.00920874848474882,0.3135262838472622,0.018406098232233926,0.0,0.0,0.5,0.0,0.0,0.0,6.206335383118183e-17,0.04587653800103784
eye,strict_drop,measured,334,116,218,193,0.3473053892215569,0.5155555555555555,S1_chemistry,221,False,"0,1,2,3,4",0.7230069598228409,0.010606562559514742,0.5718368192060566,0.029341993078152866,0.52319339081038,0.0322319311470824,0.6524122113255298,0.020485043165124932,0.33306808764469287,0.0432403342672453,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.08841959257479257
eye,strict_drop,measured,334,116,218,193,0.3473053892215569,0.5155555555555555,S1_minus_CT26,195,False,"0,1,2,3,4",0.7173362859854476,0.010788280576881937,0.5628737296655075,0.025002878108286455,0.5215910038888502,0.025573326397260593,0.6489243910155015,0.015811450806200292,0.32025425469412694,0.030906753616677194,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.08695865220396326
eye,strict_drop,regulatory,492,270,222,327,0.5487804878048781,0.7086614173228347,S1_chemistry,221,False,"0,1,2,3,4",0.6683099766433099,0.010705131899561716,0.7073798943318413,0.013756880107964898,0.653584959559046,0.013591684113182807,0.6073673673673673,0.016690749943793385,0.21573403768894206,0.03333752502945413,0.7086614173228346,0.0,0.5,0.0,0.0,0.0,0.0,0.06495374356980667
eye,strict_drop,regulatory,492,270,222,327,0.5487804878048781,0.7086614173228347,S1_minus_CT26,195,False,"0,1,2,3,4",0.6619035702369036,0.013024511156510415,0.7024139837132586,0.015570014275507076,0.6462061643199143,0.0136468282658375,0.5991591591591592,0.012533985578744758,0.199328905664567,0.025568063491207115,0.7086614173228346,0.0,0.5,0.0,0.0,0.0,0.0,0.06661442211508026
eye,strict_drop,regulatory_minus_sdsv1,229,116,113,185,0.5065502183406113,0.672463768115942,S1_chemistry,221,False,"0,1,2,3,4",0.7383658834299665,0.005245339398610505,0.7204407430241014,0.008405899688321799,0.6829899518432307,0.014921767792888471,0.6839945071711931,0.014332456153368292,0.3680269897836105,0.02864476363080543,0.672463768115942,0.0,0.5,0.0,0.0,0.0,0.0,0.05084826395340125
eye,strict_drop,regulatory_minus_sdsv1,229,116,113,185,0.5065502183406113,0.672463768115942,S1_minus_CT26,195,False,"0,1,2,3,4",0.7389838266707355,0.005918532184632595,0.715440454723341,0.013897300700560966,0.6817616287956411,0.015455471689267714,0.6822245956667684,0.014604004809374124,0.36456131159399857,0.02921933908247929,0.672463768115942,0.0,0.5,0.0,0.0,0.0,0.0,0.055163100492813075
skin,inclusive,all,1059,371,688,477,0.35033050047214354,0.5188811188811189,S1_chemistry,221,False,"0,1,2,3,4",0.755560866294741,0.005043358574587347,0.6443873585033677,0.0084546416016094,0.5702876438065839,0.00864471989122451,0.6770051087569736,0.005470891628208502,0.36975100804087135,0.010086566919991323,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.03146265381813849
skin,inclusive,all,1059,371,688,477,0.35033050047214354,0.5188811188811189,S1_minus_CT26,195,False,"0,1,2,3,4",0.7548756503478968,0.005542338989156632,0.6415208639939641,0.007223951432464487,0.5713742094102557,0.014312151870936818,0.6782313671409765,0.009720788866452652,0.37348772140577546,0.019645173271514882,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.031114172739080844
skin,inclusive,measured,544,100,444,257,0.18382352941176472,0.31055900621118016,S1_chemistry,221,False,"0,1,2,3,4",0.677304054054054,0.013505988896055884,0.3276137299749752,0.011166686072803429,0.11609866782280576,0.030410704521469243,0.5253423423423424,0.009678323911583119,0.12716267891430097,0.04691048566553969,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.06999771822121446
skin,inclusive,measured,544,100,444,257,0.18382352941176472,0.31055900621118016,S1_minus_CT26,195,False,"0,1,2,3,4",0.6760518018018018,0.012800932808692668,0.3257539199580096,0.019645412319034036,0.11632026303823147,0.011105827662899168,0.5251171171171171,0.005196566327768405,0.12730817666659783,0.03716788860455924,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.06598680833538714
skin,inclusive,regulatory,515,271,244,349,0.5262135922330097,0.6895674300254453,S1_chemistry,221,False,"0,1,2,3,4",0.7099510011493557,0.008083567894885287,0.7291735642682204,0.012093685071068939,0.6928853652890796,0.004411707162781862,0.660065936724941,0.005781157120468991,0.3228892746300617,0.011365467348157209,0.6895674300254453,0.0,0.5,0.0,0.0,0.0,0.0,0.05092666348784825
skin,inclusive,regulatory,515,271,244,349,0.5262135922330097,0.6895674300254453,S1_minus_CT26,195,False,"0,1,2,3,4",0.7121937571834736,0.0121790996623751,0.7283031005902009,0.015398005153726394,0.6913935750209443,0.0077213434368368535,0.6571562518903877,0.009456696219695122,0.31735098395513184,0.018768513481504465,0.6895674300254453,0.0,0.5,0.0,0.0,0.0,0.0,0.04583321625074578
skin,inclusive,regulatory_minus_sdsv1,230,114,116,188,0.49565217391304356,0.6627906976744187,S1_chemistry,221,False,"0,1,2,3,4",0.7468466424682395,0.017056784400732987,0.739333000763188,0.018521116354992147,0.6908499770343296,0.02604352837127232,0.6786600120992136,0.03049794672405673,0.3586945616365164,0.060595584392423796,0.0,0.0,0.5,0.0,0.0,0.0,6.206335383118183e-17,0.0745868423277255
skin,inclusive,regulatory_minus_sdsv1,230,114,116,188,0.49565217391304356,0.6627906976744187,S1_minus_CT26,195,False,"0,1,2,3,4",0.7520568663036903,0.015930003987222417,0.7434764058111136,0.014592856788655118,0.6884788368469229,0.02112701218224285,0.6752117362371446,0.025147515729505254,0.35206849964339704,0.04977656497499548,0.0,0.0,0.5,0.0,0.0,0.0,6.206335383118183e-17,0.06727916992832135
skin,strict,all,1059,274,785,477,0.2587346553352219,0.41110277569392345,S1_chemistry,221,False,"0,1,2,3,4",0.7714798456460086,0.006838600055593649,0.6129607424884188,0.005827453357678968,0.5812528212222515,0.009236855584240535,0.7159779627132827,0.0061730934455557825,0.44316495418552765,0.011597123289432689,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.05006493704555983
skin,strict,all,1059,274,785,477,0.2587346553352219,0.41110277569392345,S1_minus_CT26,195,False,"0,1,2,3,4",0.7686489376540053,0.004533660456903538,0.612501170956903,0.003438203546475954,0.584337100925294,0.009652610091489978,0.7178543865358687,0.006312624104837294,0.4478466964039912,0.012602199079658878,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.05109859201777197
skin,strict,measured,544,18,526,257,0.03308823529411765,0.06405693950177935,S1_chemistry,221,True,"0,1,2,3,4",0.797771440642163,0.023471938200475627,0.16329853395889832,0.05852722707410928,0.021052631578947368,0.04707511531578504,0.5055555555555555,0.012422599874998837,0.04639665814966114,0.10374608155146191,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0897474088187691
skin,strict,measured,544,18,526,257,0.03308823529411765,0.06405693950177935,S1_minus_CT26,195,True,"0,1,2,3,4",0.8109738065061259,0.010087616655668815,0.15877564618178788,0.04269461193634469,0.021052631578947368,0.04707511531578504,0.5055555555555555,0.012422599874998837,0.04639665814966114,0.10374608155146191,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.09071067960878591
skin,strict,regulatory,515,256,259,349,0.4970873786407767,0.6640726329442284,S1_chemistry,221,False,"0,1,2,3,4",0.7132842664092665,0.010705314945562282,0.7181567827453084,0.01542114677403766,0.6539401039641605,0.010805232912224516,0.6448404319498069,0.009080054212584879,0.29047648717215996,0.018024986061740366,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.05340029687188027
skin,strict,regulatory,515,256,259,349,0.4970873786407767,0.6640726329442284,S1_minus_CT26,195,False,"0,1,2,3,4",0.7099481177606177,0.006925479182596095,0.71706277301596,0.008361414058207775,0.6521959005990405,0.012293994574136451,0.6386990226833976,0.013513488895753614,0.2785512910969429,0.02696111705486298,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.04815587505954941
skin,strict,regulatory_minus_sdsv1,230,109,121,188,0.47391304347826085,0.6430678466076696,S1_chemistry,221,False,"0,1,2,3,4",0.7462658275835924,0.012590299131746408,0.7311985653531239,0.013413764354919354,0.6775353531073485,0.02463424706030508,0.6800212298127228,0.022594293798969583,0.3600998316062503,0.04544026279900852,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.08750284029130227
skin,strict,regulatory_minus_sdsv1,230,109,121,188,0.47391304347826085,0.6430678466076696,S1_minus_CT26,195,False,"0,1,2,3,4",0.7524982940329062,0.009812404484379922,0.7346025795651479,0.010319928447282517,0.6854709573692942,0.016061395610249673,0.6900295700962923,0.01725535822842817,0.37981594361428117,0.03436997841626507,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.08339527655998649
skin,strict_drop,all,1044,274,770,471,0.2624521072796935,0.4157814871016692,S1_chemistry,221,False,"0,1,2,3,4",0.7745554080955541,0.002536275703585879,0.6136040194076644,0.014374451101521265,0.5858040239774744,0.010197078225623869,0.7169020760261636,0.006396850580837329,0.45131476638504064,0.014472982019598448,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.04280126125392663
skin,strict_drop,all,1044,274,770,471,0.2624521072796935,0.4157814871016692,S1_minus_CT26,195,False,"0,1,2,3,4",0.7747075552185041,0.0054247507032270685,0.608605504892671,0.0127696568262496,0.583956825594399,0.0087726026305227,0.7158631149872026,0.005800153321887871,0.4481241015281249,0.011419406200754932,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.043260244110583726
skin,strict_drop,measured,544,18,526,257,0.03308823529411765,0.06405693950177935,S1_chemistry,221,True,"0,1,2,3,4",0.797771440642163,0.023471938200475627,0.16329853395889832,0.05852722707410928,0.021052631578947368,0.04707511531578504,0.5055555555555555,0.012422599874998837,0.04639665814966114,0.10374608155146191,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0897474088187691
skin,strict_drop,measured,544,18,526,257,0.03308823529411765,0.06405693950177935,S1_minus_CT26,195,True,"0,1,2,3,4",0.8109738065061259,0.010087616655668815,0.15877564618178788,0.04269461193634469,0.021052631578947368,0.04707511531578504,0.5055555555555555,0.012422599874998837,0.04639665814966114,0.10374608155146191,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.09071067960878591
skin,strict_drop,regulatory,500,256,244,339,0.512,0.6772486772486772,S1_chemistry,221,False,"0,1,2,3,4",0.717177894467213,0.00866846411798695,0.7306294202498651,0.013998287551560695,0.6922966492738871,0.009024945434812569,0.6669121413934427,0.005683927425732391,0.33685452808921157,0.012380371778867196,0.6772486772486772,0.0,0.5,0.0,0.0,0.0,0.0,0.05001355449552888
skin,strict_drop,regulatory,500,256,244,339,0.512,0.6772486772486772,S1_minus_CT26,195,False,"0,1,2,3,4",0.7159227715163934,0.008165963105388035,0.7283331608796948,0.011806913335426111,0.6890051368457918,0.00221006171120875,0.6646068135245902,0.003991661050495595,0.33175085648116726,0.00722214787668794,0.6772486772486772,0.0,0.5,0.0,0.0,0.0,0.0,0.046639312676602124
skin,strict_drop,regulatory_minus_sdsv1,225,109,116,183,0.4844444444444445,0.6526946107784432,S1_chemistry,221,False,"0,1,2,3,4",0.7384530211958241,0.005581583612891526,0.7357955211694207,0.011612434886203282,0.6665112438019168,0.01694137660347402,0.6592454919329326,0.01400867301548543,0.3196317304609834,0.028567743322989295,0.0,0.0,0.5,0.0,0.0,0.0,6.206335383118183e-17,0.07456338735127784
skin,strict_drop,regulatory_minus_sdsv1,225,109,116,183,0.4844444444444445,0.6526946107784432,S1_minus_CT26,195,False,"0,1,2,3,4",0.7392280923758304,0.007567086113164976,0.7349020119856904,0.0119817749268076,0.6682192235182646,0.01407885183016434,0.6634451123062322,0.009386972398549503,0.32771781271899436,0.019636786414261666,0.0,0.0,0.5,0.0,0.0,0.0,6.206335383118183e-17,0.07396843811984959
skin,strict_skin_only3,all,1059,356,703,477,0.336166194523135,0.5031802120141343,S1_chemistry,221,False,"0,1,2,3,4",0.7547253344414788,0.00849493251973725,0.6392819204250761,0.005517892701462888,0.5634591351212922,0.012395209867994058,0.6776159956526604,0.008923011584146224,0.37255475627596546,0.020447941808922607,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.02659782010918628
skin,strict_skin_only3,all,1059,356,703,477,0.336166194523135,0.5031802120141343,S1_minus_CT26,195,False,"0,1,2,3,4",0.7535593843399875,0.007168130783712283,0.6358419164893225,0.006072756786960647,0.5524927459757495,0.011213009838619397,0.6697040772292102,0.008533360183445944,0.3551811086255222,0.01997641184386427,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.026338844335074888
