comparison,endpoint,label_regime,feature_set,n_inclusive,n_variant,p_inclusive,p_variant,n_groups_inclusive,n_groups_variant,d_roc_auc,sd_pooled_roc_auc,d_mcc,sd_pooled_mcc,d_f1_minus_dummy,low_confidence
minusCT26_vs_S1,skin,measured,inclusive,544,544,0.18382352941176472,0.18382352941176472,257,257,-0.0012522522522522284,0.018608482389304324,0.00014549775229685813,0.05985019305480751,0.00022159521542571003,False
minusCT26_vs_S1,skin,regulatory,inclusive,515,515,0.5262135922330097,0.5262135922330097,349,349,0.002242756034117832,0.01461761056046047,-0.0055382906749298355,0.021941534730903454,-0.0014917902681352846,False
minusCT26_vs_S1,skin,regulatory_minus_sdsv1,inclusive,230,230,0.49565217391304356,0.49565217391304356,188,188,0.005210223835450778,0.023338785768030227,-0.006626061993119381,0.07841894712739582,-0.002371140187406695,False
minusCT26_vs_S1,skin,all,strict,1059,1059,0.2587346553352219,0.2587346553352219,477,477,-0.002830907992003251,0.0082049087660288,0.004681742218463569,0.017126257332927622,0.0030842797030424807,False
minusCT26_vs_S1,skin,measured,strict,544,544,0.03308823529411765,0.03308823529411765,257,257,0.01320236586396295,0.025547835381469677,0.0,0.14671911557314257,0.0,True
minusCT26_vs_S1,skin,regulatory,strict,515,515,0.4970873786407767,0.4970873786407767,349,349,-0.003336148648648729,0.012750138430317179,-0.011925196075217082,0.03243149634802498,-0.001744203365119934,False
minusCT26_vs_S1,skin,regulatory_minus_sdsv1,strict,230,230,0.47391304347826085,0.47391304347826085,188,188,0.006232466449313856,0.015962421933777265,0.01971611200803086,0.056974668929073075,0.007935604261945728,False
minusCT26_vs_S1,skin,all,strict_drop,1044,1044,0.2624521072796935,0.2624521072796935,471,471,0.0001521471229499749,0.005988373288027611,-0.0031906648569157703,0.018435564719244707,-0.0018471983830754546,False
minusCT26_vs_S1,skin,measured,strict_drop,544,544,0.03308823529411765,0.03308823529411765,257,257,0.01320236586396295,0.025547835381469677,0.0,0.14671911557314257,0.0,True
minusCT26_vs_S1,skin,regulatory,strict_drop,500,500,0.512,0.512,339,339,-0.0012551229508196426,0.01190903957518766,-0.005103671608044313,0.014332934986795949,-0.0032915124280953334,False
minusCT26_vs_S1,skin,regulatory_minus_sdsv1,strict_drop,225,225,0.4844444444444445,0.4844444444444445,183,183,0.0007750711800063037,0.009402918050890025,0.00808608225801094,0.03466582379300297,0.0017079797163477295,False
minusCT26_vs_S1,skin,all,strict_skin_only3,1059,1059,0.336166194523135,0.336166194523135,477,477,-0.001165950101491342,0.011115123816102686,-0.017373647650443247,0.02858627912787472,-0.01096638914554271,False
minusCT26_vs_S1,skin,measured,strict_skin_only3,544,544,0.18382352941176472,0.18382352941176472,257,257,-0.0012522522522522284,0.018608482389304324,0.00014549775229685813,0.05985019305480751,0.00022159521542571003,False
minusCT26_vs_S1,skin,regulatory,strict_skin_only3,515,515,0.4970873786407767,0.4970873786407767,349,349,-0.003336148648648729,0.012750138430317179,-0.011925196075217082,0.03243149634802498,-0.001744203365119934,False
minusCT26_vs_S1,skin,regulatory_minus_sdsv1,strict_skin_only3,230,230,0.47391304347826085,0.47391304347826085,188,188,0.006232466449313856,0.015962421933777265,0.01971611200803086,0.056974668929073075,0.007935604261945728,False
minusCT26_vs_S1,sens,all,inclusive,716,716,0.5321229050279329,0.5321229050279329,364,364,-0.01761350726681543,0.017366801861445073,-0.02346300600463125,0.04784772436693694,-0.009577541704060999,False
minusCT26_vs_S1,sens,regulatory,inclusive,716,716,0.5321229050279329,0.5321229050279329,364,364,-0.01761350726681543,0.017366801861445073,-0.02346300600463125,0.04784772436693694,-0.009577541704060999,False
minusCT26_vs_S1,sens,regulatory_minus_sdsv1,inclusive,321,321,0.6137071651090342,0.6137071651090342,185,185,-3.2749304077261954e-05,0.03725140442972684,0.0016730222894328906,0.06749223566575052,-0.003861357616322336,False
