Formulation_ID,product_name,제형코드,제형코드_출처,v5_formulation_code,배정범위내,확보값_원문,파싱값,파싱하한,파싱상한,값형태,측정조건,측정조건_원문,근거URL,극단pH게이트,극단pH게이트_조건무시,기존값충돌,v5조인,v5물리형태,미확보사유,미확보세부,귀속등급,귀속코드,제품명불일치자인,제형표기모순,사람검토요망,상세기록,채택가능,판정근거
EyeIrritation6pack_PID377,EH-1446 Herbicide,SL,제형코드시트.추출정보(팀원기입),,Y,,,,,,,,,,,해당없음(v5 ph_best 결측),Y,,참고값 기각 - 귀속 불성립,D4 pH 비지배 성분 대입,참고값 기각 - 귀속 불성립,D4 pH 비지배 성분 대입,N,N,N,Y,보류,확보값 없음 · 참고값 기각 - 귀속 불성립 · D4 pH 비지배 성분 대입
EyeIrritation6pack_PID379,EH-1480 Herbicide,SL,제형코드시트.추출정보(팀원기입),,Y,,,,,,,,,,,해당없음(v5 ph_best 결측),Y,,참고값 기각 - 귀속 불성립,D4 pH 비지배 성분 대입,참고값 기각 - 귀속 불성립,D4 pH 비지배 성분 대입,N,N,N,Y,보류,확보값 없음 · 참고값 기각 - 귀속 불성립 · D4 pH 비지배 성분 대입
EyeIrritation6pack_PID380,EH-1488 Herbicide,SL,제형코드시트.추출정보(팀원기입),,Y,,,,,,,,,,,해당없음(v5 ph_best 결측),Y,,참고값 기각 - 귀속 불성립,D1 미지배성분 대입,참고값 기각 - 귀속 불성립,D1 미지배성분 대입,N,N,N,Y,보류,확보값 없음 · 참고값 기각 - 귀속 불성립 · D1 미지배성분 대입
EyeIrritation6pack_PID396,ET-005,SL,제형코드시트.추출정보(팀원기입),,Y,4.61,4.61,4.61,4.61,단일,미명시,미기재,https://s3-us-west-1.amazonaws.com/agrian-cg-fs1-production/pdfs/Iprodione_2SE_Select_MSDS.pdf,판정불가,해당없음,해당없음(v5 ph_best 결측),Y,,,,참고값 - 동일 제품 아님,출처: 제조사 SDS,N,N,N,N,보류,참고값 - 동일 제품 아님 - 제품 자체 pH 아님(성분/타제품 참고값)
EyeIrritation6pack_PID40,Acephate,SL,제형코드시트.추출정보(팀원기입),,Y,4,4,4.0,4.0,단일,미명시,미기재,https://labelsds.com/images/user_uploads/Acephate%2097%20UP%20SDS%2012-31-18.pdf,판정불가,해당없음,해당없음(v5 ph_best 결측),Y,solid,,,참고값 - 활성성분 고유 물성,출처: 제조사 SDS,N,N,N,N,보류,참고값 - 활성성분 고유 물성 - 제품 자체 pH 아님(성분/타제품 참고값)
EyeIrritation6pack_PID406,Ethoprop,SL,제형코드시트.추출정보(팀원기입),,Y,,,,,,,,,,,해당없음(v5 ph_best 결측),Y,liquid,근거 확보 실패,검색결과 없음,근거 확보 실패,검색결과 없음,N,N,N,N,보류,확보값 없음 · 근거 확보 실패 · 검색결과 없음
EyeIrritation6pack_PID408,Etoxazole(95.57%),SL,제형코드시트.추출정보(팀원기입),,Y,6.2,6.2,6.2,6.2,단일,기타,원제(Technical) 조건 미기재,https://pubchem.ncbi.nlm.nih.gov/compound/153974,해당없음,해당없음,해당없음(v5 ph_best 결측),Y,powder,,,참고값 - 활성성분 고유 물성,출처: 원제 DB,N,N,N,Y,보류,참고값 - 활성성분 고유 물성 - 제품 자체 pH 아님(성분/타제품 참고값)
EyeIrritation6pack_PID412,EX2108,SL,제형코드시트.추출정보(팀원기입),,Y,,,,,,,,,,,해당없음(v5 ph_best 결측),Y,,근거 확보 실패,출처: EPA 등록서류 검토,근거 확보 실패,출처: EPA 등록서류 검토,N,N,N,N,보류,확보값 없음 · 근거 확보 실패 · 출처: EPA 등록서류 검토
EyeIrritation6pack_PID42,Acequinocyl,SL,제형코드시트.추출정보(팀원기입),,Y,6.94,6.94,6.94,6.94,단일,미명시,미기재,https://pubchem.ncbi.nlm.nih.gov/compound/93315#section=Experimental-Properties,판정불가,해당없음,해당없음(v5 ph_best 결측),Y,solid,,,참고값 - 활성성분 고유 물성,출처: 원제 DB,N,N,N,N,보류,참고값 - 활성성분 고유 물성 - 제품 자체 pH 아님(성분/타제품 참고값)
EyeIrritation6pack_PID437,"Flower, Rose, & Shrub Care II",SL,제형코드시트.추출정보(팀원기입),,Y,,,,,,,,,,,해당없음(v5 ph_best 결측),Y,,참고값 기각 - 귀속 불성립,D4 pH 비지배 성분 대입,참고값 기각 - 귀속 불성립,D4 pH 비지배 성분 대입,N,N,N,Y,보류,확보값 없음 · 참고값 기각 - 귀속 불성립 · D4 pH 비지배 성분 대입
EyeIrritation6pack_PID439,Fluazinam,SL,제형코드시트.추출정보(팀원기입),,Y,"5.8 at 1% aqueous solution, 25 C",5.8,5.8,5.8,단일,1%수용액,1% 수용액 25 C,https://pubchem.ncbi.nlm.nih.gov/compound/91731,해당없음,해당없음,해당없음(v5 ph_best 결측),Y,solid,,,참고값 - 활성성분 고유 물성,출처: 원제 DB,N,N,N,Y,보류,참고값 - 활성성분 고유 물성 - 제품 자체 pH 아님(성분/타제품 참고값)
EyeIrritation6pack_PID456,Flumethrin(96.2),SL,제형코드시트.추출정보(팀원기입),,Y,,,,,,,,https://www.chemblink.com/MSDSFiles/69770-45-2Sigma-Aldrich.pdf,,,해당없음(v5 ph_best 결측),Y,liquid,정보없음 - 문서상 pH 미기재,출처: 제조사 SDS,정보없음 - 문서상 pH 미기재,출처: 제조사 SDS,N,N,N,N,보류,확보값 없음 · 정보없음 - 문서상 pH 미기재 · 출처: 제조사 SDS
EyeIrritation6pack_PID462,Fluoxastrobin,SL,제형코드시트.추출정보(팀원기입),,Y,,,,,,,,,,,해당없음(v5 ph_best 결측),Y,,참고값 기각 - 정보량 부족,A1 제품문서 실측,참고값 기각 - 정보량 부족,A1 제품문서 실측,N,N,N,Y,보류,확보값 없음 · 참고값 기각 - 정보량 부족 · A1 제품문서 실측
EyeIrritation6pack_PID47,Acticide CBM,SL,제형코드시트.추출정보(팀원기입),,Y,,,,,,,,,,,해당없음(v5 ph_best 결측),Y,,참고값 기각 - 측정농도 불일치,B5 이온성 주성분 참고값(농도 불일치),참고값 기각 - 측정농도 불일치,B5 이온성 주성분 참고값(농도 불일치),N,N,N,Y,보류,확보값 없음 · 참고값 기각 - 측정농도 불일치 · B5 이온성 주성분 참고값(농도 불일치)
EyeIrritation6pack_PID473,Fosetyl-Al,SL,제형코드시트.추출정보(팀원기입),,Y,3.4,3.4,3.4,3.4,단일,원액,원액,https://labelsds.com/images/user_uploads/Fosetyl-Al%2080WDG%20SDS%201-6-16.pdf,해당없음,해당없음,해당없음(v5 ph_best 결측),Y,,,,참고값 - 동일 제품 아님,출처: 제조사 SDS,N,N,N,N,보류,참고값 - 동일 제품 아님 - 제품 자체 pH 아님(성분/타제품 참고값)
EyeIrritation6pack_PID475,Foundation Lite,SL,제형코드시트.추출정보(팀원기입),,Y,4.61,4.61,4.61,4.61,단일,미명시,미기재,https://s3-us-west-1.amazonaws.com/agrian-cg-fs1-production/pdfs/Iprodione_2SE_Select_MSDS.pdf,판정불가,해당없음,해당없음(v5 ph_best 결측),Y,,,,참고값 - 동일 제품 아님,출처: 제조사 SDS,N,N,N,Y,보류,참고값 - 동일 제품 아님 - 제품 자체 pH 아님(성분/타제품 참고값)
EyeIrritation6pack_PID476,Four-way VAP,SL,제형코드시트.추출정보(팀원기입),,Y,,,,,,,,,,,해당없음(v5 ph_best 결측),Y,,근거 확보 실패,조성표로 주성분 확인됨(Thiamethoxam 22.6%),근거 확보 실패,조성표로 주성분 확인됨(Thiamethoxam 22.6%),N,N,N,N,보류,확보값 없음 · 근거 확보 실패 · 조성표로 주성분 확인됨(Thiamethoxam 22.6%)
EyeIrritation6pack_PID48,Acticide CBM 2,SL,제형코드시트.추출정보(팀원기입),,Y,4.5,4.5,4.5,4.5,단일,원액,원액,https://www3.epa.gov/pesticides/chem_search/ppls/067071-00062-20170221.pdf,해당없음,해당없음,해당없음(v5 ph_best 결측),Y,,,,제품 SDS 확인,출처: EPA 라벨,N,N,N,Y,채택,제품 귀속(제품 SDS 확인) + 측정조건 명시(원액)
EyeIrritation6pack_PID49,Acticide LA 2605-F,SL,제형코드시트.추출정보(팀원기입),,Y,3.5,3.5,3.5,3.5,단일,미명시,미기재,https://www3.epa.gov/pesticides/chem_search/ppls/067071-00050-20070109.pdf,판정불가,해당없음,해당없음(v5 ph_best 결측),Y,,,,제품 SDS 확인,출처: EPA 라벨,N,N,N,N,조건부,제품 귀속(제품 SDS 확인) 이나 측정조건 미기재
EyeIrritation6pack_PID50,Acticide MKW1,SL,제형코드시트.추출정보(팀원기입),,Y,,,,,,,,,,,해당없음(v5 ph_best 결측),Y,,참고값 기각 - 정보량 부족,B4 부성분(10~50%) 참고값,참고값 기각 - 정보량 부족,B4 부성분(10~50%) 참고값,N,N,N,Y,보류,확보값 없음 · 참고값 기각 - 정보량 부족 · B4 부성분(10~50%) 참고값
