대표,단위,endpoint,관할,피처,피처정리,열수,결측처리,CT,n,양성,유병률,roc_auc,roc_auc_sd,pr_auc,pr_auc_sd,f1_pos,f1_pos_sd,f1_neg,f1_macro,precision,recall,specificity,MCC,BA,accuracy,tp,fp,fn,tn,F1_최적임계값_참고_seed4,최적임계값_참고_seed4,f1_neg_sd,f1_macro_sd,precision_sd,recall_sd,specificity_sd,MCC_sd,BA_sd,accuracy_sd
0,제형,skin,UN_GHS,제형집계+물성+CT,v6_원본,221,native_복원,CT_A0,615,371,0.6033,0.7004,0.0112,0.7616,0.0175,0.7447,0.0121,0.552,0.6484,0.7072,0.7865,0.5049,0.3036,0.6457,0.6748,291.8,120.8,79.2,123.2,0.7849,0.352,0.016,0.0139,0.0088,0.017,0.0128,0.0289,0.0133,0.0139
0,제형,skin,UN_GHS,제형집계+물성+CT,v6_원본,221,native_복원,CT_권고,615,371,0.6033,0.7357,0.0101,0.7907,0.0096,0.7652,0.0076,0.5915,0.6784,0.7288,0.8054,0.5443,0.3629,0.6748,0.7018,298.8,111.2,72.2,132.8,0.7863,0.332,0.0113,0.0092,0.0061,0.0105,0.0106,0.019,0.0089,0.009
0,제형,skin,UN_GHS,제형집계+물성+CT,v7_정리,210,nan0,CT_A0,615,371,0.6033,0.6937,0.0117,0.7607,0.0173,0.741,0.01,0.5501,0.6455,0.7061,0.7795,0.5066,0.2968,0.643,0.6712,289.2,120.4,81.8,123.6,0.7794,0.342,0.0166,0.0132,0.0092,0.0117,0.0158,0.0266,0.0128,0.0124
0,제형,skin,UN_GHS,제형집계+물성+CT,v7_정리,210,nan0,CT_권고,615,371,0.6033,0.7252,0.0044,0.7846,0.0063,0.7612,0.0096,0.5779,0.6695,0.7212,0.8059,0.5262,0.3469,0.6661,0.695,299.0,115.6,72.0,128.4,0.79,0.386,0.0127,0.0105,0.0069,0.0161,0.0141,0.0222,0.0101,0.0106
0,제형,skin,UN_GHS,제형집계+물성+CT,v7_정리,210,native,CT_A0,615,371,0.6033,0.7066,0.0094,0.7681,0.0143,0.7492,0.0022,0.5594,0.6543,0.7113,0.7914,0.5115,0.3154,0.6514,0.6803,293.6,119.2,77.4,124.8,0.7856,0.316,0.0066,0.0043,0.0036,0.0031,0.0089,0.0079,0.0042,0.0034
0,제형,skin,UN_GHS,제형집계+물성+CT,v7_정리,210,native,CT_권고,615,371,0.6033,0.7329,0.0084,0.7876,0.008,0.7618,0.0066,0.586,0.6739,0.7257,0.8016,0.5393,0.3538,0.6705,0.6976,297.4,112.4,73.6,131.6,0.7919,0.38,0.0089,0.0077,0.0049,0.0095,0.0074,0.0159,0.0073,0.0076
0,제형,skin,UN_GHS,제형집계+물성+CT,v7_정리,210,native_복원,CT_A0,615,371,0.6033,0.7045,0.011,0.7671,0.0147,0.7477,0.0052,0.5627,0.6552,0.713,0.786,0.5189,0.316,0.6524,0.68,291.6,117.4,79.4,126.6,0.7884,0.365,0.0096,0.0074,0.0053,0.0053,0.0094,0.0147,0.0072,0.0067
0,제형,skin,UN_GHS,제형집계+물성+CT,v7_정리,210,native_복원,CT_권고,615,371,0.6033,0.7321,0.0097,0.79,0.0066,0.7623,0.0119,0.5831,0.6727,0.724,0.8049,0.5336,0.3524,0.6692,0.6972,298.6,113.8,72.4,130.2,0.7968,0.385,0.0173,0.0144,0.0093,0.0159,0.0143,0.0299,0.0139,0.0141
0,제형,skin,EU_CLP+K_REACH+US_OSHA,제형집계+물성+CT,v6_원본,221,nan0,CT_A0,1059,356,0.3362,0.7547,0.0085,0.6393,0.0055,0.5635,0.0124,0.8041,0.6838,0.6163,0.5191,0.8361,0.3726,0.6776,0.7296,184.8,115.2,171.2,587.8,0.5931,0.298,0.0075,0.0097,0.0192,0.011,0.0118,0.0204,0.0089,0.0094
0,제형,skin,EU_CLP+K_REACH+US_OSHA,제형집계+물성+CT,v6_원본,221,nan0,CT_권고,1059,356,0.3362,0.7697,0.0041,0.645,0.0046,0.5725,0.0115,0.8078,0.6902,0.6252,0.5281,0.8395,0.3852,0.6838,0.7348,188.0,112.8,168.0,590.2,0.6213,0.349,0.0065,0.0088,0.0163,0.0099,0.0095,0.0183,0.0082,0.0083
0,제형,skin,EU_CLP+K_REACH+US_OSHA,제형집계+물성+CT,v6_원본,221,native,CT_A0,1059,356,0.3362,0.7612,0.0071,0.6481,0.0047,0.5561,0.0066,0.8034,0.6797,0.6146,0.5079,0.8387,0.3655,0.6733,0.7275,180.8,113.4,175.2,589.6,0.6057,0.298,0.0025,0.004,0.0064,0.0098,0.0052,0.0077,0.0041,0.0032
0,제형,skin,EU_CLP+K_REACH+US_OSHA,제형집계+물성+CT,v6_원본,221,native,CT_권고,1059,356,0.3362,0.7754,0.0031,0.656,0.0051,0.5804,0.0046,0.8126,0.6965,0.6371,0.5331,0.8461,0.3985,0.6896,0.7409,189.8,108.2,166.2,594.8,0.6338,0.338,0.0038,0.0037,0.0104,0.0075,0.008,0.0082,0.0033,0.0041
0,제형,skin,EU_CLP+K_REACH+US_OSHA,제형집계+물성+CT,v6_원본,221,native_복원,CT_A0,1059,356,0.3362,0.7619,0.0062,0.6472,0.005,0.566,0.0084,0.8075,0.6868,0.6249,0.5174,0.8427,0.3796,0.68,0.7333,184.2,110.6,171.8,592.4,0.6022,0.347,0.0041,0.0057,0.0104,0.011,0.0074,0.0115,0.0055,0.0051
0,제형,skin,EU_CLP+K_REACH+US_OSHA,제형집계+물성+CT,v6_원본,221,native_복원,CT_권고,1059,356,0.3362,0.7726,0.0041,0.6538,0.005,0.5751,0.0092,0.8097,0.6924,0.6299,0.5292,0.8424,0.39,0.6858,0.7371,188.4,110.8,167.6,592.2,0.6193,0.33,0.0053,0.007,0.0134,0.0102,0.0088,0.0144,0.0065,0.0066
0,제형,skin,EU_CLP+K_REACH+US_OSHA,제형집계+물성+CT,v7_정리,210,nan0,CT_A0,1059,356,0.3362,0.7551,0.0063,0.6407,0.0055,0.5658,0.0109,0.8036,0.6847,0.6146,0.5242,0.8336,0.3737,0.6789,0.7296,186.6,117.0,169.4,586.0,0.6002,0.298,0.0044,0.0075,0.0107,0.0119,0.005,0.0149,0.0074,0.0062
0,제형,skin,EU_CLP+K_REACH+US_OSHA,제형집계+물성+CT,v7_정리,210,nan0,CT_권고,1059,356,0.3362,0.7683,0.0051,0.649,0.0022,0.5766,0.0044,0.8076,0.6921,0.6241,0.536,0.8364,0.3882,0.6862,0.7354,190.8,115.0,165.2,588.0,0.6069,0.263,0.0045,0.0042,0.0113,0.0054,0.0088,0.0094,0.0035,0.005
0,제형,skin,EU_CLP+K_REACH+US_OSHA,제형집계+물성+CT,v7_정리,210,native,CT_A0,1059,356,0.3362,0.7623,0.0047,0.6478,0.0035,0.5731,0.0038,0.8099,0.6915,0.6306,0.5253,0.8441,0.3886,0.6847,0.7369,187.0,109.6,169.0,593.4,0.6092,0.297,0.0034,0.0033,0.0089,0.0053,0.0067,0.0074,0.0029,0.0038
0,제형,skin,EU_CLP+K_REACH+US_OSHA,제형집계+물성+CT,v7_정리,210,native,CT_권고,1059,356,0.3362,0.7717,0.0046,0.657,0.0069,0.5855,0.0063,0.8151,0.7003,0.6435,0.5371,0.8492,0.4062,0.6931,0.7443,191.2,106.0,164.8,597.0,0.6157,0.287,0.0046,0.0054,0.0121,0.0037,0.0076,0.0117,0.0047,0.0056
0,제형,skin,EU_CLP+K_REACH+US_OSHA,제형집계+물성+CT,v7_정리,210,native_복원,CT_A0,1059,356,0.3362,0.761,0.0057,0.6471,0.0028,0.5709,0.0082,0.8099,0.6904,0.6309,0.5213,0.8455,0.387,0.6834,0.7365,185.6,108.6,170.4,594.4,0.6007,0.29,0.0033,0.0053,0.0087,0.0117,0.0062,0.0103,0.0053,0.0043
1,제형,skin,EU_CLP+K_REACH+US_OSHA,제형집계+물성+CT,v7_정리,210,native_복원,CT_권고,1059,356,0.3362,0.7743,0.0045,0.6572,0.0075,0.5843,0.0157,0.8151,0.6997,0.6434,0.5354,0.8498,0.4054,0.6926,0.7441,190.6,105.6,165.4,597.4,0.6181,0.274,0.0037,0.0094,0.0085,0.0227,0.0057,0.0172,0.01,0.0062
