키,cas,이름,cid,동일성등급,동일성보류,조회질의,CID후보수,CID후보전체,cas_후보수,이름_후보수,성분행수,eye_구분,eye_보류값,skin_구분,skin_보류값,출처URL
"Linalool, oxide",,"Linalool, oxide",22310.0,이름_동의어일치,,"Linalool, oxide",1.0,22310,0,1,1,2A,,2,,https://pubchem.ncbi.nlm.nih.gov/compound/22310
Isobutanol,,Isobutanol,6560.0,이름_동의어일치,,Isobutanol,1.0,6560,0,1,1,1,,2,,https://pubchem.ncbi.nlm.nih.gov/compound/6560
Glufosinate,,Glufosinate,4794.0,이름_동의어일치,,Glufosinate,1.0,4794,0,1,1,NC,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/4794
Propylene glycol monomethyl,,Propylene glycol monomethyl,11008049.0,이름_동의어일치,,Propylene glycol monomethyl,1.0,11008049,0,1,1,2A,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/11008049
Geranyl Acetate,,Geranyl Acetate,1549026.0,이름_동의어일치,,Geranyl Acetate,1.0,1549026,0,1,1,NC,,2,,https://pubchem.ncbi.nlm.nih.gov/compound/1549026
Pyraclostrobin,,Pyraclostrobin,6422843.0,이름_동의어일치,,Pyraclostrobin,1.0,6422843,0,1,1,NC,,2,,https://pubchem.ncbi.nlm.nih.gov/compound/6422843
phosphorothioate,,phosphorothioate,167253.0,이름_동의어일치,,phosphorothioate,1.0,167253,0,1,1,,,,,https://pubchem.ncbi.nlm.nih.gov/compound/167253
n-Butyl Acetate,,n-Butyl Acetate,31272.0,이름_동의어일치,,n-Butyl Acetate,1.0,31272,0,1,1,NC,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/31272
Urea,,Urea,1176.0,이름_동의어일치,,Urea,1.0,1176,0,1,1,NC,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/1176
Trichloroacetic Acid,,Trichloroacetic Acid,6421.0,이름_동의어일치,,Trichloroacetic Acid,1.0,6421,0,1,1,1,,1,,https://pubchem.ncbi.nlm.nih.gov/compound/6421
Spinosyn D,,Spinosyn D,183094.0,이름_동의어일치,,Spinosyn D,1.0,183094,0,1,1,NC,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/183094
Spinetoram L,,Spinetoram L,25217966.0,이름_동의어일치,,Spinetoram L,1.0,25217966,0,1,1,,,,,https://pubchem.ncbi.nlm.nih.gov/compound/25217966
Spinetoram J,,Spinetoram J,24795086.0,이름_동의어일치,,Spinetoram J,1.0,24795086,0,1,1,NC,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/24795086
Spinetoram,,Spinetoram,53297414.0,이름_동의어일치,,Spinetoram,1.0,53297414,0,1,1,NC,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/53297414
Geranyl formate,,Geranyl formate,5282109.0,이름_동의어일치,,Geranyl formate,1.0,5282109,0,1,1,NC,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/5282109
Fluxapyroxad,,Fluxapyroxad,16095400.0,이름_동의어일치,,Fluxapyroxad,1.0,16095400,0,1,1,NC,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/16095400
Citronellal,,Citronellal,7794.0,이름_동의어일치,,Citronellal,1.0,7794,0,1,1,2A,,2,,https://pubchem.ncbi.nlm.nih.gov/compound/7794
Chlorobenzene,,Chlorobenzene,7964.0,이름_동의어일치,,Chlorobenzene,1.0,7964,0,1,1,,,2,,https://pubchem.ncbi.nlm.nih.gov/compound/7964
Caryophyllene oxide,,Caryophyllene oxide,1742210.0,이름_동의어일치,,Caryophyllene oxide,1.0,1742210,0,1,1,,,,,https://pubchem.ncbi.nlm.nih.gov/compound/1742210
Carbon black,,Carbon black,5462310.0,이름_동의어일치,,Carbon black,1.0,5462310,0,1,1,,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/5462310
Carbendazim,,Carbendazim,25429.0,이름_동의어일치,,Carbendazim,1.0,25429,0,1,1,NC,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/25429
"Carbamic acid, butyl-, 3-iodo-2-propynyl ester",,"Carbamic acid, butyl-, 3-iodo-2-propynyl ester",62097.0,이름_동의어일치,,"Carbamic acid, butyl-, 3-iodo-2-propynyl ester",1.0,62097,0,1,1,1,,,,https://pubchem.ncbi.nlm.nih.gov/compound/62097
Bronopol,,Bronopol,2450.0,이름_동의어일치,,Bronopol,1.0,2450,0,1,1,1,,2,,https://pubchem.ncbi.nlm.nih.gov/compound/2450
Bispyribac-sodium,,Bispyribac-sodium,23682789.0,이름_동의어일치,,Bispyribac-sodium,1.0,23682789,0,1,1,2A,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/23682789
Anethole,,Anethole,637563.0,이름_동의어일치,,Anethole,1.0,637563,0,1,1,NC,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/637563
Citral,,Citral,638011.0,이름_동의어일치,,Citral,1.0,638011,0,1,1,2A,,2,,https://pubchem.ncbi.nlm.nih.gov/compound/638011
Citronellol,,Citronellol,8842.0,이름_동의어일치,,Citronellol,1.0,8842,0,1,1,2A,,2,,https://pubchem.ncbi.nlm.nih.gov/compound/8842
Florasulam,,Florasulam,11700495.0,이름_동의어일치,,Florasulam,1.0,11700495,0,1,1,NC,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/11700495
Fenpropimorph,,Fenpropimorph,93365.0,이름_동의어일치,,Fenpropimorph,1.0,93365,0,1,1,NC,,2,,https://pubchem.ncbi.nlm.nih.gov/compound/93365
Ethylbenzene,,Ethylbenzene,7500.0,이름_동의어일치,,Ethylbenzene,1.0,7500,0,1,1,NC,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/7500
Ethyl acetate > 10.0,,Ethyl acetate > 10.0,8857.0,이름_동의어일치,,Ethyl acetate,1.0,8857,0,1,1,2A,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/8857
"Ethyl 5,5-diphenyl-2-isoxazoline-3-carboxylate",,"Ethyl 5,5-diphenyl-2-isoxazoline-3-carboxylate",6451155.0,이름_동의어일치,,"Ethyl 5,5-diphenyl-2-isoxazoline-3-carboxylate",1.0,6451155,0,1,1,NC,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/6451155
Estragole,,Estragole,8815.0,이름_동의어일치,,Estragole,1.0,8815,0,1,1,NC,,,,https://pubchem.ncbi.nlm.nih.gov/compound/8815
Elemental Sulfur,,Elemental Sulfur,5362487.0,이름_동의어일치,,Elemental Sulfur,1.0,5362487,0,1,1,NC,,2,,https://pubchem.ncbi.nlm.nih.gov/compound/5362487
Diuron,,Diuron,3120.0,이름_동의어일치,,Diuron,1.0,3120,0,1,1,NC,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/3120
Dichloroprop,,Dichloroprop,8427.0,이름_동의어일치,,Dichloroprop,1.0,8427,0,1,1,1,,2,,https://pubchem.ncbi.nlm.nih.gov/compound/8427
Cyclohexanone,,Cyclohexanone,7967.0,이름_동의어일치,,Cyclohexanone,1.0,7967,0,1,1,,,,,https://pubchem.ncbi.nlm.nih.gov/compound/7967
Cumene,,Cumene,7406.0,이름_동의어일치,,Cumene,1.0,7406,0,1,1,NC,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/7406
Cobaltous neodecanoate,,Cobaltous neodecanoate,24899422.0,이름_동의어일치,,Cobaltous neodecanoate,1.0,24899422,0,1,1,NC,,2,,https://pubchem.ncbi.nlm.nih.gov/compound/24899422
Citronellyl formate,,Citronellyl formate,7778.0,이름_동의어일치,,Citronellyl formate,1.0,7778,0,1,1,NC,,2,,https://pubchem.ncbi.nlm.nih.gov/compound/7778
179293-51-1,179293-51-1,Fluxapyroxad,16095400.0,이름_동의어일치,,Fluxapyroxad,1.0,16095400,1,1,1,NC,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/16095400
3-Methoxy-1-butyl acetate,,3-Methoxy-1-butyl acetate,20498.0,이름_동의어일치,,3-Methoxy-1-butyl acetate,1.0,20498,0,1,1,NC,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/20498
1-Methoxy-2-propanol,,1-Methoxy-2-propanol,7900.0,이름_동의어일치,,1-Methoxy-2-propanol,1.0,7900,0,1,1,NC,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/7900
"1,2-benzisothiazolin-3-one",,"1,2-benzisothiazolin-3-one",17520.0,이름_동의어일치,,"1,2-benzisothiazolin-3-one",1.0,17520,0,1,1,1,,2,,https://pubchem.ncbi.nlm.nih.gov/compound/17520
61789-17-1,61789-17-1,Guaiac wood acetate,240122.0,이름_동의어일치,,Guaiac wood acetate,1.0,240122,1,1,1,2A,,2,,https://pubchem.ncbi.nlm.nih.gov/compound/240122
"1,2,4-Trimethylbenzene",,"1,2,4-Trimethylbenzene",7247.0,이름_동의어일치,,"1,2,4-Trimethylbenzene",1.0,7247,0,1,1,2A,,2,,https://pubchem.ncbi.nlm.nih.gov/compound/7247
57-55-6,57-55-6,"propane-,2-diol propane-1,2-diol >= 5 - < 10",1030.0,CAS_동의어일치,,57-55-6,1.0,1030,1,12,25,NC,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/1030
2634-33-5,2634-33-5,2-Benzisothiazol-3(2H)-one >= 0.005 - <=,17520.0,CAS_동의어일치,,2634-33-5,1.0,17520,1,11,21,1,,2,,https://pubchem.ncbi.nlm.nih.gov/compound/17520
107534-96-3,107534-96-3,Tebuconazole,86102.0,CAS_동의어일치,,107534-96-3,1.0,86102,1,2,15,NC,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/86102
131341-86-1,131341-86-1,Fludioxonil,86398.0,CAS_동의어일치,,131341-86-1,1.0,86398,1,3,9,NC,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/86398
7783-20-2,7783-20-2,Ammonium sulphate,6097028.0,CAS_동의어일치,,7783-20-2,1.0,6097028,1,6,8,,,,,https://pubchem.ncbi.nlm.nih.gov/compound/6097028
577-11-7,577-11-7,Docusate sodium <,23673837.0,CAS_동의어일치,,577-11-7,1.0,23673837,1,4,7,,,2,,https://pubchem.ncbi.nlm.nih.gov/compound/23673837
210631-68-8,210631-68-8,Topramezone technical,11302979.0,CAS_동의어일치,,210631-68-8,1.0,11302979,1,3,7,,,,,https://pubchem.ncbi.nlm.nih.gov/compound/11302979
117428-22-5,117428-22-5,Picoxystrobin,11285653.0,CAS_동의어일치,,117428-22-5,1.0,11285653,1,2,6,2A,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/11285653
57837-19-1,57837-19-1,Metalaxyl,42586.0,CAS_동의어일치,,57837-19-1,1.0,42586,1,2,6,NC,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/42586
7631-86-9,7631-86-9,Silicon dioxide,24261.0,CAS_동의어일치,,7631-86-9,1.0,24261,1,3,6,,,,,https://pubchem.ncbi.nlm.nih.gov/compound/24261
91465-08-6,91465-08-6,lambda-cyhalothrin lambda,6440557.0,CAS_동의어일치,,91465-08-6,1.0,6440557,1,5,6,,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/6440557
52315-07-8,52315-07-8,cypermethrin cis/trans +/- /60,2912.0,CAS_동의어일치,,52315-07-8,1.0,2912,1,5,6,NC,,2,,https://pubchem.ncbi.nlm.nih.gov/compound/2912
125225-28-7,125225-28-7,ipconazole,86211.0,CAS_동의어일치,,125225-28-7,1.0,86211,1,3,5,NC,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/86211
115-95-7,115-95-7,Linalyl Acetate,8294.0,CAS_동의어일치,,115-95-7,1.0,8294,1,3,5,2A,,2,,https://pubchem.ncbi.nlm.nih.gov/compound/8294
107-21-1,107-21-1,Ethylene glycol,174.0,CAS_동의어일치,,107-21-1,1.0,174,1,3,5,NC,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/174
71751-41-2,71751-41-2,Abamectin,9920327.0,CAS_동의어일치,,71751-41-2,1.0,9920327,1,4,5,,,,,https://pubchem.ncbi.nlm.nih.gov/compound/9920327
330-54-1,330-54-1,"Diuron 3-(3,4-dichlorophenyl)-1,1-dimethylurea",3120.0,CAS_동의어일치,,330-54-1,1.0,3120,1,3,5,NC,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/3120
8003-34-7,8003-34-7,Pyrethrins 232-319-8,60202781.0,CAS_동의어일치,,8003-34-7,1.0,60202781,1,2,4,NC,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/60202781
1918-00-9,1918-00-9,Dicamba,3030.0,CAS_동의어일치,,1918-00-9,1.0,3030,1,3,4,1,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/3030
372137-35-4,372137-35-4,saflufenacil,11571392.0,CAS_동의어일치,,372137-35-4,1.0,11571392,1,3,4,NC,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/11571392
7173-51-5,7173-51-5,Didecyldimethylammonium chloride -No,23558.0,CAS_동의어일치,,7173-51-5,1.0,23558,1,3,4,1,,1,,https://pubchem.ncbi.nlm.nih.gov/compound/23558
70630-17-0,70630-17-0,Metalaxyl-m,11150163.0,CAS_동의어일치,,70630-17-0,1.0,11150163,1,4,4,1,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/11150163
874967-67-6,874967-67-6,"1H-Pyrazole-4-carboxamide, N-(2-[1,1'- bicyclopropyl]-2-ylphenyl)-3- (difluoromethyl)-1-methyl-",11688533.0,CAS_동의어일치,,874967-67-6,1.0,11688533,1,3,4,NC,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/11688533
95-63-6,95-63-6,"2,4-Trimethylbenzene",7247.0,CAS_동의어일치,,95-63-6,1.0,7247,1,2,3,2A,,2,,https://pubchem.ncbi.nlm.nih.gov/compound/7247
203313-25-1,203313-25-1,Spirotetramat,9969573.0,CAS_동의어일치,,203313-25-1,1.0,9969573,1,2,3,,,,,https://pubchem.ncbi.nlm.nih.gov/compound/9969573
51-03-6,51-03-6,Piperonyl Butoxide 200-076-7,5794.0,CAS_동의어일치,,51-03-6,1.0,5794,1,2,3,2A,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/5794
97-99-4,97-99-4,Tetrahydrofurfuryl,7360.0,CAS_동의어일치,,97-99-4,1.0,7360,1,2,3,2A,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/7360
66423-09-4,66423-09-4,Dimethylamine Salt of (+)-R-2-(2-methyl-4,68515001.0,CAS_동의어일치,,66423-09-4,1.0,68515001,1,2,3,,,,,https://pubchem.ncbi.nlm.nih.gov/compound/68515001
91-20-3,91-20-3,Naphthalene <,931.0,CAS_동의어일치,,91-20-3,1.0,931,1,2,3,NC,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/931
1897-45-6,1897-45-6,Chlorothalonil not listed,15910.0,CAS_동의어일치,,1897-45-6,1.0,15910,1,3,3,1,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/15910
122548-33-8,122548-33-8,Imazosulfuron Technical,92433.0,CAS_동의어일치,,122548-33-8,1.0,92433,1,2,3,NC,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/92433
105-87-3,105-87-3,Geranyl Acetate,1549026.0,CAS_동의어일치,,105-87-3,1.0,1549026,1,2,3,NC,,2,,https://pubchem.ncbi.nlm.nih.gov/compound/1549026
100-41-4,100-41-4,Ethylbenzene,7500.0,CAS_동의어일치,,100-41-4,1.0,7500,1,2,3,NC,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/7500
121552-61-2,121552-61-2,Cyprodinil,86367.0,CAS_동의어일치,,121552-61-2,1.0,86367,1,2,3,,,,,https://pubchem.ncbi.nlm.nih.gov/compound/86367
104-76-7,104-76-7,Ethylhexan-1-ol <,7720.0,CAS_동의어일치,,104-76-7,1.0,7720,1,2,3,2A,,2,,https://pubchem.ncbi.nlm.nih.gov/compound/7720
113-48-4,113-48-4,MGK®-264 (N-Octyl Bicycloheptene Dicarboximide) 0.16 204-029-1,101008927.0,CAS_동의어일치,,113-48-4,1.0,101008927,1,2,3,NC,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/101008927
34590-94-8,34590-94-8,Dipropylene Glycol Monomethyl Ether (DPM) ≥75-≤90,25484.0,CAS_동의어일치,,34590-94-8,1.0,25484,1,2,2,NC,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/25484
7632-00-0,7632-00-0,sodium nitrite 1 - 5,23668193.0,CAS_동의어일치,,7632-00-0,1.0,23668193,1,2,2,,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/23668193
107-98-2,107-98-2,Methoxy-2-propanol,7900.0,CAS_동의어일치,,107-98-2,1.0,7900,1,2,2,NC,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/7900
35367-38-5,35367-38-5,DIflubenzuron 70-90,37123.0,CAS_동의어일치,,35367-38-5,1.0,37123,1,2,2,NC,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/37123
7647-15-6,7647-15-6,sodium bromide,253881.0,CAS_동의어일치,,7647-15-6,1.0,253881,1,2,2,,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/253881
2758-42-1,2758-42-1,"Dimethylamine Salt of -(2,4-Dichlorphenoxy) 23 True",62462.0,CAS_동의어일치,,2758-42-1,1.0,62462,1,2,2,,,,,https://pubchem.ncbi.nlm.nih.gov/compound/62462
57-50-1,57-50-1,"sucrose, pure >= 10 - <",5988.0,CAS_동의어일치,,57-50-1,1.0,5988,1,2,2,NC,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/5988
104040-78-0,104040-78-0,Active Ingredient: Flazasulfuron* 25 Not established,93539.0,CAS_동의어일치,,104040-78-0,1.0,93539,1,2,2,NC,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/93539
104206-82-8,104206-82-8,Mesotrione,175967.0,CAS_동의어일치,,104206-82-8,1.0,175967,1,2,2,NC,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/175967
59-67-6,59-67-6,Pyridine--carboxylic acid >= 5 - <,938.0,CAS_동의어일치,,59-67-6,1.0,938,1,2,2,2A,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/938
126-86-3,126-86-3,"4,7,9-tetramethyl-5-decyne-4,7-diol",31362.0,CAS_동의어일치,,126-86-3,1.0,31362,1,2,2,,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/31362
155569-91-8,155569-91-8,emamectin benzoate,11650986.0,CAS_동의어일치,,155569-91-8,1.0,11650986,1,2,2,1,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/11650986
127277-53-6,127277-53-6,prohexadione-calcium; calcium 3-oxido-5-oxo-4-propionylcyclohex-3-enecarboxylate,184900.0,CAS_동의어일치,,127277-53-6,1.0,184900,1,2,2,NC,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/184900
128-37-0,128-37-0,6-Di-tert-butyl-4-methylphenol >= 0.10 - <=,31404.0,CAS_동의어일치,,128-37-0,1.0,31404,1,2,2,NC,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/31404
91-57-6,91-57-6,methyl-naphthalene >= 1 - <,7055.0,CAS_동의어일치,,91-57-6,1.0,7055,1,2,2,NC,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/7055
129558-76-5,129558-76-5,Tolfenpyrad EC,10110536.0,CAS_동의어일치,,129558-76-5,1.0,10110536,1,2,2,NC,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/10110536
135397-30-7,135397-30-7,Halosulfuron,86414.0,CAS_동의어일치,,135397-30-7,1.0,86414,1,2,2,,,,,https://pubchem.ncbi.nlm.nih.gov/compound/86414
133-06-2,133-06-2,"Captan: N-[(trichloromethyl)thio]-4-cyclohexene-1, 2-",8606.0,CAS_동의어일치,,133-06-2,1.0,8606,1,2,2,1,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/8606
1582-09-8,1582-09-8,Trifluralin none established,5569.0,CAS_동의어일치,,1582-09-8,1.0,5569,1,2,2,NC,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/5569
68157-60-8,68157-60-8,Forchlorfenuron 1 not set not set,93379.0,CAS_동의어일치,,68157-60-8,1.0,93379,1,2,2,NC,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/93379
67-63-0,67-63-0,Isopropanol -No,3776.0,CAS_동의어일치,,67-63-0,1.0,3776,1,2,2,,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/3776
7758-98-7,7758-98-7,Copper sulfate 0.1,24462.0,CAS_동의어일치,,7758-98-7,1.0,24462,1,2,2,2A,,2,,https://pubchem.ncbi.nlm.nih.gov/compound/24462
90-12-0,90-12-0,methyl-naphthalene >= 1 - <,7002.0,CAS_동의어일치,,90-12-0,1.0,7002,1,2,2,,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/7002
110-17-8,110-17-8,Fumaric Acid,444972.0,CAS_동의어일치,,110-17-8,1.0,444972,1,2,2,2A,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/444972
7778-77-0,7778-77-0,Monobasic potassium phosphate (Potassium dihydrogenorthophosphate),516951.0,CAS_동의어일치,,7778-77-0,1.0,516951,1,2,2,NC,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/516951
